RowIndex,Old_Total,New_Total,Old_ObjectNames,New_ObjectNames,Old_Makers,New_Makers,Old_Organisations/Institutions,New_Organisations/Institutions,Old_Dates,New_Dates,Old_Places,New_Places,Old_Descriptions,New_Descriptions,Old_Other,New_Other,Unique_to_Old,Unique_to_New
0,7,8,1,1,1,1,0,1,1,1,0,1,2,2,2,1,"{""object_names"": [], ""makers"": [""Professor D. E. Hughes, F.R.S."", ""Executors of the late Anna C. Hughes""], ""organisations/institutions"": [], ""dates"": [""1879""], ""places"": [], ""descriptions"": [""This is the clockwork interrupting mechanism used by Prof. D. E. Hughes in the experiments which led him from the discovery of the microphone in 1878 to the transmission of wireless signals over a short distance in 1879. The experiments are described below.""], ""other"": [""Inv. 1922-149, S.M. 2156.""]}","{""object_names"": [], ""makers"": [""David Edward Hughes (1831-1900)"", ""Unknown maker""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1875-1880"", ""c. 1879""], ""places"": [""England, United Kingdom""], ""descriptions"": [""once owned by David Hughes"", ""Radio Communication movement - clockwork; movement - clockwork""], ""other"": []}"
1,13,10,2,2,2,1,1,1,1,1,0,3,5,2,2,0,"{""object_names"": [""microphonic detector"", ""telephone receiver""], ""makers"": [""Executors of the late Mrs. Anna C. Hughes""], ""organisations/institutions"": [""Science Museum""], ""dates"": [], ""places"": [], ""descriptions"": [""formed by joining up in series a battery, a microphone, and one of the coils of his balance"", ""any interruption of the circuit was accompanied by a disturbance which became audible in a telephone receiver connected to another microphone, even when the two circuits were widely separated and there was no direct connection between them"", ""convinced that they were due to some form of conduction between the two circuits"", ""could all be accounted for by the known laws of electro-magnetic induction"", ""dealing with true Hertzian waves such as now used in wireless telegraphy"", ""unwittingly employing for their detection the coherer method of reception which was first deliberately used for this purpose by Lodge in 1889"", ""consists of a steel needle hanging in light contact with a small circular hole in a block of carbon"", ""one of many forms of microphone which were tried by Prof. Hughes"", ""Others will be found in the telephony section""], ""other"": [""Inv. 1922-222"", ""S.M. 2156""]}","{""object_names"": [""Radio Communication microphone"", ""microphone""], ""makers"": [""David Edward Hughes""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [""London, England"", ""Greater London, England"", ""United Kingdom""], ""descriptions"": [""probably made by David Edward Hughes"", ""microphonic detector""], ""other"": []}"
2,13,10,2,2,2,1,2,1,1,1,0,2,6,3,2,0,"{""object_names"": [], ""makers"": [""Mr. E. E. Robinson""], ""organisations/institutions"": [""F.R.S.""], ""dates"": [], ""places"": [], ""descriptions"": [""Throughout the experimental researches of Prof. Hertz, to which is due the rise of modern wireless telegraphy, the only means of detection was that afforded by the occurrence of a minute visible spark in a closed circuit tuned to resonance with the transmitter."", ""In repeating the experiments of Hertz, Sir Oliver Lodge also employed a \u201cresonator\u201d which, however, was made to resemble the oscillator in shape and consisted of a straight rod interrupted at the centre by an adjustable spark gap."", ""One of these resonators is here shown, and it will be seen that the wood base on which it is mounted is blackened behind the gap in order to render the spark more easily visible."", ""Although thousands of times less sensitive than the coherer, which Sir Oliver Lodge and others subsequently employed, it was by means of resonators such as these that Prof. Hertz laid the foundations of modern wireless telegraphy, performing experiments involving reflection, refraction, and polarization of electro-magnetic waves."", ""Sir Oliver Lodge also employed resonators in conjunction with coherer detection, which he placed in the position of the spark gap."", ""With such apparatus he transmitted signals a distance of some 60 yards in 1894, using as one of his accessory pieces of apparatus a coherer and tapper. (See No. 23.)""], ""other"": [""Lent by Sir Oliver Lodge, F.R.S."", ""Inv. 1924-35, S.M. 2173.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [""England"", ""United Kingdom""], ""descriptions"": [""Radio Communication resonator""], ""other"": [""probably made by E E Robinson"", ""Used by Oliver Lodge.""]}"
3,18,11,2,2,1,1,3,2,2,1,2,2,6,1,2,2,"{""object_names"": [""Hertzian oscillator"", ""\u201cdumb-bell\u201d oscillator or \u201cdipole\u201d""], ""makers"": [""Mr. E. E. Robinson""], ""organisations/institutions"": [""Hertz"", ""Karlsruhe"", ""G. Marconi""], ""dates"": [""1886"", ""1895""], ""places"": [""Karlsruhe"", ""England""], ""descriptions"": [""This Hertzian oscillator was used by Sir Oliver Lodge in 1894, when in the course of experiments based on the work of Hertz he transmitted signals over a short distance by means of electric waves."", ""The oscillator is similar in every way to the type used by Prof. H. Hertz at Karlsruhe in 1886, and is known as a \u201cdumb-bell\u201d oscillator or \u201cdipole.\u201d"", ""The only fundamental change which has taken place in the growth of such oscillators from the small experimental model (used purely for physical research) to the large modern antenn\u00e6 measuring up to 800 ft. in height, is that it has become customary to replace the lower half of the dipole by an earth connection."", ""This important modification was made by G. Marconi in 1895."", ""Sir Oliver Lodge himself came very near to the experimental demonstration of electro-magnetic waves, and was the first to show the fundamental importance of tuning in wireless.""], ""other"": [""Inv. 1924-32"", ""S.M. 2173""]}","{""object_names"": [""Radio Communication oscillator"", ""oscillator""], ""makers"": [""Robinson, E.E""], ""organisations/institutions"": [""Royal Institution"", ""United Kingdom""], ""dates"": [""1 June 1894""], ""places"": [], ""descriptions"": [""Used by Oliver Lodge in his lecture before the Royal Institution on 1 June 1894 on \u2018The work of Hertz and his successors\u2019""], ""other"": [""England""]}"
4,14,8,2,1,1,1,1,1,1,1,1,2,6,1,2,1,"{""object_names"": [""LODGE SPHERICAL OSCILLATOR""], ""makers"": [""Mr. E. E. Robinson""], ""organisations/institutions"": [""Royal Institution""], ""dates"": [], ""places"": [""library of the Royal Institution""], ""descriptions"": [""one of the oscillators used by Sir Oliver Lodge in his lecture at the Royal Institution in 1894, when wireless signals were sent and detected by his spring coherer at a distance of some 20 yards through walls."", ""The sphere when excited gave sparks at the ends of a diameter to two small knobs and emitted waves 7 in. in length."", ""The radiation was very powerful, but owing to the high rate of damping the oscillator was enclosed in a copper screening device with a variable aperture, in order to prolong the duration of the waves and project them in any desired direction."", ""Sir Oliver Lodge used this oscillator to transmit signals from the library of the Royal Institution to the lecture table, where they were detected by his spring coherer."", ""He also demonstrated the quasi-optical effects of the waves by refracting and polarizing them, as Hertz had done."", ""\u201cOn the work of Hertz and some of his successors,\u201d""], ""other"": [""Presented by Sir Oliver Lodge, F.R.S."", ""Inv. 1924-34, S.M. 2173""]}","{""object_names"": [""Hertzian oscillator""], ""makers"": [""unknown maker""], ""organisations/institutions"": [""Royal Institution""], ""dates"": [], ""places"": [""England"", ""United Kingdom""], ""descriptions"": [""Radio Communication scientific equipment; scientific equipment""], ""other"": [""1890-1894"", ""Large Hertzian oscillator""]}"
5,14,13,2,2,1,1,1,2,2,1,0,2,6,3,2,2,"{""object_names"": [""LODGE SPARK-GAP COHERER"", ""coherer""], ""makers"": [""Mr. E. E. Robinson""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1889""], ""places"": [], ""descriptions"": [""originally used for experiments on lightning guards"", ""employed by Sir Oliver Lodge in 1889 as a detector of electro-magnetic waves"", ""represents the first deliberate application of the coherer principle to wireless reception"", ""accidentally observed that when lightning struck the guard, the opposite sides of the protective air-gap became fused together"", ""adhesion and amalgamation when a spark occurred between the knobs"", ""an extremely feeble spark was found sufficient to produce the effect provided that the surfaces were only separated by an almost imperceptible film, probably of oxide"", ""the adhesion of the two surfaces was demonstrated by an electric bell and battery in circuit; every time a spark occurred the bell rang, and if it was placed so that its vibrations could reach the cohered surfaces a few strokes sufficed to break the contact and restore the gap to its original condition"", ""a name that has since been applied to all modes of detection using either a single specially arranged contact-gap or a multiplicity of loose contacts""], ""other"": [""Sir Oliver Lodge, F.R.S."", ""Inv. 1924-36, S.M. 2174""]}","{""object_names"": [""Spark gap or knob coherer"", ""Radio Communication coherer""], ""makers"": [""unknown maker""], ""organisations/institutions"": [""England"", ""United Kingdom""], ""dates"": [], ""places"": [], ""descriptions"": [""Used by Sir Oliver Lodge to first show the coherer effect and detect electric surgings by closing the circuit of a galvanometer during experiments on lightning guards""], ""other"": [""1889"", ""1889 England, United Kingdom""]}"
6,13,8,1,1,1,1,1,1,2,1,1,0,4,1,3,3,"{""object_names"": [""18-IN. INDUCTION COIL""], ""makers"": [""Senatore Marconi""], ""organisations/institutions"": [""Marconi's Wireless Telegraph Company""], ""dates"": [""1898""], ""places"": [""the Needles station""], ""descriptions"": [""This large induction coil was used by Senatore Marconi at the Needles station in 1898."", ""At this date the transmitter was untuned, the secondary terminals of the induction coil being connected across a multiple spark gap."", ""One of the outer balls of this gap was connected to earth, and the other by a wire to an insulated strip of wire netting supported by an insulator at the top of a 120 ft. mast."", ""A large Morse key was inserted in the primary circuit of the coil and signalling thereby effected.""], ""other"": [""Plate 1"", ""Lent by Marconi's Wireless Telegraph Company"", ""Inv. 1924-504, S.M. 2181""]}","{""object_names"": [""wireless telegraphy apparatus used by the Marconi Company""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1898""], ""places"": [], ""descriptions"": [""Other components from this specific 1898 Marconi apparatus collection, such as the \""Receiving 'jigger'\"" (co8357572), are explicitly linked to this accession and date""], ""other"": [""LLM-LINKED"", ""co35265 (Accession 1923-434)"", ""co8357572""]}"
7,13,8,2,1,1,0,2,1,3,2,2,1,4,2,1,1,"{""object_names"": [""MULTIPLE SPARK GAP"", ""spark gap""], ""makers"": [""Senatore Marconi""], ""organisations/institutions"": [""Marconi's Wireless Telegraph Company"", ""Prof. Righi""], ""dates"": [""1895"", ""1898""], ""places"": [""Isle of Wight""], ""descriptions"": [""two central spheres were immersed in vaseline oil"", ""type here shown"", ""four brass balls, each about 2 in. diam., spaced about 1/4 in. apart in an ebonite frame"", ""earliest experiments""], ""other"": [""Inv. 1924-511""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1902""], ""places"": [], ""descriptions"": [""wireless telegraphy apparatus 1898"", ""Items of wireless telegraphy apparatus 1898 and 1902""], ""other"": [""LLM-LINKED"", ""co35265""]}"
8,16,15,4,2,0,1,2,1,2,2,1,2,5,3,2,4,"{""object_names"": [""oscillation transformers or \""jiggers\"""", ""condensers and inductance coils"", ""types of detectors used by Senatore Marconi"", ""mercury-iron anti-coherer""], ""makers"": [], ""organisations/institutions"": [""The Institution of Electrical Engineers""], ""dates"": [], ""places"": [], ""descriptions"": [""illustrate the work of the Marconi Company between the years 1898 and 1902"", ""The mercury-iron coherer is one of several which were used in Newfoundland when the first transatlantic wireless signals were received there in 1901."", ""In the mercury-iron coherer the original form of which was devised by P. Castelli, a signalman in the Italian Navy, two electrodes, either both of iron or one of iron and one of carbon, are placed in a glass tube, and between the electrodes is a drop of mercury."", ""The Marconi magnetic detector is described at No. 33.""], ""other"": [""Plate 3"", ""Inv. 1923-434, S.M. 2159""]}","{""object_names"": [""Radio Communication apparatus""], ""makers"": [""Marconi's Wireless Telegraphy Company Limited""], ""organisations/institutions"": [], ""dates"": [], ""places"": [""Chelmsford, Essex, England, United Kingdom""], ""descriptions"": [""Items of wireless telegraphy apparatus used by the Marconi Company, probably made by Marconi's Wireless Telegraphy Company, Chelmsford, 1898 and 1902."", ""photographs"", ""apparatus""], ""other"": [""three framed and glazed photographs relating to the above"", ""a wooden display board with ivorine key letters"", ""a glazed shade case"", ""photographs""]}"
9,16,12,2,3,1,0,1,1,2,2,1,0,7,3,2,3,"{""object_names"": [""FIRST MARCONI EXPERIMENTAL TUNED TRANSMITTER"", ""oscillation transformer""], ""makers"": [""Marconi's Wireless Telegraph Company""], ""organisations/institutions"": [], ""dates"": [""1899"", ""1900""], ""places"": [""\""The Haven,\"" Poole Harbour""], ""descriptions"": [""This is part of the first piece of rough experimental tuned coupled-circuit transmitting apparatus employed by Senatore Marconi at his station at \""The Haven,\"" Poole Harbour, in 1899."", ""It is the foundation of the famous \""7777\"" patent of 1900."", ""At the transmitting end the original arrangement, called since then a \""plain aerial,\"" was exchanged for one consisting of two coupled circuits."", ""The secondary of the oscillation transformer was connected in series with an adjustable inductance in the aerial circuit, while the primary circuit included a spark gap and condenser."", ""It is this latter portion of the original experimental apparatus which is here shown."", ""It consists of a square wooden frame over which are wound several lengths of thickly insulated copper cable joined in parallel to form a single turn of very low resistance."", ""The condenser and the terminals of the spark gap were connected to the secondary terminals of a 10-in. induction coil (shown at No. 10)."", ""The whole oscillation transformer when in use was generally immersed in insulating oil.""], ""other"": [""1899 (Patent 1900)"", ""Inv. 1924-494, S.M. 2183""]}","{""object_names"": [""Items of wireless telegraphy apparatus used by the Marconi Company"", ""Receiving 'jigger'""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1898 and 1902""], ""places"": [], ""descriptions"": [""The prompt describes it as the \""first piece of rough experimental tuned coupled-circuit transmitting apparatus\"" used in 1899."", ""Similar items from this accession, such as the \""Receiving 'jigger'\"" (co8357572, co8357576), are explicitly linked to this collection""], ""other"": [""LLM-LINKED"", ""co35265 (Accession 1923-434)"", ""co8357572, co8357576""]}"
