RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
0,1879,"1922-149, S.M. 2156",Whole,N/A,CLOCKWORK INTERRUPTOR,donated,CLOCKWORK INTERRUPTOR,This is the clockwork interrupting mechanism used by Prof. D. E. Hughes in the experiments which led him from the discovery of the microphone in 1878 to the transmission of wireless signals over a short distance in 1879. The experiments are described below.,,,"[{'name': 'Professor D. E. Hughes, F.R.S.', 'role': 'maker'}, {'name': 'Anna C. Hughes', 'role': 'donor'}]",,,,,This is the clockwork interrupting mechanism used by Prof. D. E. Hughes in the experiments which led him from the discovery of the microphone in 1878 to the transmission of wireless signals over a short distance in 1879. The experiments are described below.,,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['F.R.S.']}"
1,2156,1922-222,Whole,N/A,HUGHES MICROPHONIC DETECTOR,donated,MICROPHONIC DETECTOR,"Made by Professor D. E. Hughes, F.R.S. Presented by the Executors of the late Mrs. Anna C. Hughes. In the course of some experiments with his Induction Balance, Prof. Hughes found that if a circuit was formed by joining up in series a battery, a microphone, and one of the coils of his balance, any interruption of the circuit was accompanied by a disturbance which became audible in a telephone receiver connected to another microphone, even when the two circuits were widely separated and there was no direct connection between them. Prof. Hughes carried out a great many experiments, many of which were witnessed by eminent men of science, but whereas Prof. Hughes was convinced that they were due to some form of conduction between the two circuits, his friends eventually came to the conclusion that they could all be accounted for by the known laws of electro-magnetic induction. It is now certain that in these experiments, Hughes, like Edison in 1875, was dealing with true Hertzian waves such as now used in wireless telegraphy, and that he was unwittingly employing for their detection the coherer method of reception which was first deliberately used for this purpose by Lodge in 1889. The microphone detector exhibited consists of a steel needle hanging in light contact with a small circular hole in a block of carbon, and is one of many forms of microphone which were tried by Prof. Hughes. Others will be found in the telephony section.",,,"[{'name': 'D. E. Hughes', 'role': 'Professor'}, {'name': 'Anna C. Hughes', 'role': 'Executors'}, {'name': 'Edison', 'role': 'associate'}, {'name': 'Lodge', 'role': 'associate'}]",,,steel; carbon,,"It is now certain that in these experiments, Hughes, like Edison in 1875, was dealing with true Hertzian waves such as now used in wireless telegraphy, and that he was unwittingly employing for their detection the coherer method of reception which was first deliberately used for this purpose by Lodge in 1889.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Hertzian waves']}"
2,23,S.M. 2173,Whole,N/A,HERTZ RESONATOR,loaned,HERTZ RESONATOR,"Throughout the experimental researches of Prof. Hertz, to which is due the rise of modern wireless telegraphy, the only means of detection was that afforded by the occurrence of a minute visible spark in a closed circuit tuned to resonance with the transmitter.
In repeating the experiments of Hertz, Sir Oliver Lodge also employed a “resonator” which, however, was made to resemble the oscillator in shape and consisted of a straight rod interrupted at the centre by an adjustable spark gap. One of these resonators is here shown, and it will be seen that the wood base on which it is mounted is blackened behind the gap in order to render the spark more easily visible.
Although thousands of times less sensitive than the coherer, which Sir Oliver Lodge and others subsequently employed, it was by means of resonators such as these that Prof. Hertz laid the foundations of modern wireless telegraphy, performing experiments involving reflection, refraction, and polarization of electro-magnetic waves.
Sir Oliver Lodge also employed resonators in conjunction with coherer detection, which he placed in the position of the spark gap. With such apparatus he transmitted signals a distance of some 60 yards in 1894, using as one of his accessory pieces of apparatus a coherer and tapper.",,,"[{'name': 'E. E. Robinson', 'role': 'made by'}, {'name': 'Oliver Lodge', 'role': 'lent by'}, {'name': 'Hertz', 'role': 'researcher'}, {'name': 'Hertz', 'role': 'performed experiments'}, {'name': 'Oliver Lodge', 'role': 'employed'}, {'name': 'Oliver Lodge', 'role': 'employed'}]",,,['wood'],['60 yards'],"Throughout the experimental researches of Prof. Hertz, to which is due the rise of modern wireless telegraphy, the only means of detection was that afforded by the occurrence of a minute visible spark in a closed circuit tuned to resonance with the transmitter.
In repeating the experiments of Hertz, Sir Oliver Lodge also employed a “resonator” which, however, was made to resemble the oscillator in shape and consisted of a straight rod interrupted at the centre by an adjustable spark gap. One of these resonators is here shown, and it will be seen that the wood base on which it is mounted is blackened behind the gap in order to render the spark more easily visible.
Although thousands of times less sensitive than the coherer, which Sir Oliver Lodge and others subsequently employed, it was by means of resonators such as these that Prof. Hertz laid the foundations of modern wireless telegraphy, performing experiments involving reflection, refraction, and polarization of electro-magnetic waves.
Sir Oliver Lodge also employed resonators in conjunction with coherer detection, which he placed in the position of the spark gap. With such apparatus he transmitted signals a distance of some 60 yards in 1894, using as one of his accessory pieces of apparatus a coherer and tapper.",,1924,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['wireless telegraphy']}"
3,2173,1924-32,Whole,N/A,,donated,HERTZ OSCILLATOR,"This Hertzian oscillator was used by Sir Oliver Lodge in 1894, when in the course of experiments based on the work of Hertz he transmitted signals over a short distance by means of electric waves.
The oscillator is similar in every way to the type used by Prof. H. Hertz at Karlsruhe in 1886, and is known as a “dumb-bell” oscillator or “dipole.”
The only fundamental change which has taken place in the growth of such oscillators from the small experimental model (used purely for physical research) to the large modern antennæ measuring up to 800 ft. in height, is that it has become customary to replace the lower half of the dipole by an earth connection.
This important modification was made by G. Marconi in 1895.
Sir Oliver Lodge himself came very near to the experimental demonstration of electro-magnetic waves, and was the first to show the fundamental importance of tuning in wireless.",,,"[{'name': 'E. E. Robinson', 'role': 'maker'}, {'name': 'Sir Oliver Lodge', 'role': 'donor'}, {'name': 'Sir Oliver Lodge', 'role': 'user'}, {'name': 'H. Hertz', 'role': 'user'}, {'name': 'G. Marconi', 'role': 'modifier'}]",['Karlsruhe'],1886,,['up to 800 ft. in height'],"This Hertzian oscillator was used by Sir Oliver Lodge in 1894, when in the course of experiments based on the work of Hertz he transmitted signals over a short distance by means of electric waves.
The oscillator is similar in every way to the type used by Prof. H. Hertz at Karlsruhe in 1886, and is known as a “dumb-bell” oscillator or “dipole.”
The only fundamental change which has taken place in the growth of such oscillators from the small experimental model (used purely for physical research) to the large modern antennæ measuring up to 800 ft. in height, is that it has become customary to replace the lower half of the dipole by an earth connection.
This important modification was made by G. Marconi in 1895.
Sir Oliver Lodge himself came very near to the experimental demonstration of electro-magnetic waves, and was the first to show the fundamental importance of tuning in wireless.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['dumb-bell']}"
4,2173,1924-34,Whole,N/A,,donated,LODGE SPHERICAL OSCILLATOR,"The sphere when excited gave sparks at the ends of a diameter to two small knobs and emitted waves 7 in. in length. The radiation was very powerful, but owing to the high rate of damping the oscillator was enclosed in a copper screening device with a variable aperture, in order to prolong the duration of the waves and project them in any desired direction. At his Lecture in 1894, “On the work of Hertz and some of his successors,” Sir Oliver Lodge used this oscillator to transmit signals from the library of the Royal Institution to the lecture table, where they were detected by his spring coherer. He also demonstrated the quasi-optical effects of the waves by refracting and polarizing them, as Hertz had done.",,,"[{'name': 'Mr. E. E. Robinson', 'role': 'made'}, {'name': 'Sir Oliver Lodge', 'role': 'presented'}, {'name': 'Sir Oliver Lodge', 'role': 'user'}, {'name': 'Hertz', 'role': 'predecessor'}]",,1894,copper,7 in.,"This is one of the oscillators used by Sir Oliver Lodge in his lecture at the Royal Institution in 1894, when wireless signals were sent and detected by his spring coherer at a distance of some 20 yards through walls. Used to transmit signals from the library of the Royal Institution to the lecture table, where they were detected by his spring coherer. Also demonstrated the quasi-optical effects of the waves by refracting and polarizing them, as Hertz had done.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
5,1889,S.M. 2174,Whole,N/A,LODGE SPARK-GAP COHERER,donated,LODGE SPARK-GAP COHERER,"This spark-gap, originally used for experiments on lightning guards, was employed by Sir Oliver Lodge in 1889 as a detector of electro-magnetic waves. It represents the first deliberate application of the coherer principle to wireless reception.
In that year Sir Oliver Lodge accidentally observed that when lightning struck the guard, the opposite sides of the protective air-gap became fused together. This he considered partly due to a cohesive action, resulting in adhesion and amalgamation when a spark occurred between the knobs. An extremely feeble spark was found sufficient to produce the effect provided that the surfaces were only separated by an almost imperceptible film, probably of oxide. The adhesion of the two surfaces was demonstrated by an electric bell and battery in circuit; every time a spark occurred the bell rang, and if it was placed so that its vibrations could reach the cohered surfaces a few strokes sufficed to break the contact and restore the gap to its original condition. Sir Oliver Lodge called this arrangement a ""coherer,"" a name that has since been applied to all modes of detection using either a single specially arranged contact-gap or a multiplicity of loose contacts. Inv. 1924-36, S.M. 2174.",,,"[{'name': 'E. E. Robinson', 'role': 'made'}, {'name': 'Sir Oliver Lodge', 'role': 'presented'}, {'name': 'Sir Oliver Lodge', 'role': 'user'}]",[],['1889'],['oxide'],[],"['originally used for experiments on lightning guards', 'was employed by Sir Oliver Lodge in 1889 as a detector of electro-magnetic waves', 'It represents the first deliberate application of the coherer principle to wireless reception.', 'This he considered partly due to a cohesive action, resulting in adhesion and amalgamation when a spark occurred between the knobs.', 'An extremely feeble spark was found sufficient to produce the effect provided that the surfaces were only separated by an almost imperceptible film, probably of oxide.', 'The adhesion of the two surfaces was demonstrated by an electric bell and battery in circuit; every time a spark occurred the bell rang, and if it was placed so that its vibrations could reach the cohered surfaces a few strokes sufficed to break the contact and restore the gap to its original condition.', 'Sir Oliver Lodge called this arrangement a ""coherer,"" a name that has since been applied to all modes of detection using either a single specially arranged contact-gap or a multiplicity of loose contacts.']",[],1889,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
6,18,"Inv. 1924-504, S.M. 2181",Whole,N/A,,loaned,INDUCTION COIL,"Plate 1. Lent by Marconi's Wireless Telegraph Company. 1898 This large induction coil was used by Senatore Marconi at the Needles station in 1898. At this date the transmitter was untuned, the secondary terminals of the induction coil being connected across a multiple spark gap. (See next exhibit.) One of the outer balls of this gap was connected to earth, and the other by a wire to an insulated strip of wire netting supported by an insulator at the top of a 120 ft. mast. A large Morse key was inserted in the primary circuit of the coil and signalling thereby effected.",,,"[{'name': ""Marconi's Wireless Telegraph Company"", 'role': 'lender'}, {'name': 'Senatore Marconi', 'role': 'user'}]",['Needles station'],1898,['wire'],"['18-IN', '120 ft']","This large induction coil was used by Senatore Marconi at the Needles station in 1898. At this date the transmitter was untuned, the secondary terminals of the induction coil being connected across a multiple spark gap. One of the outer balls of this gap was connected to earth, and the other by a wire to an insulated strip of wire netting supported by an insulator at the top of a 120 ft. mast. A large Morse key was inserted in the primary circuit of the coil and signalling thereby effected.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
7,No. 55,Inv. 1924-511,Whole,N/A,MULTIPLE SPARK GAP,loaned,MULTIPLE SPARK GAP,"Lent by Marconi's Wireless Telegraph Company. 1898 In his earliest experiments (1895) Senatore Marconi made use of a spark gap of the type evolved by Prof. Righi (see No. 55), in which the two central spheres were immersed in vaseline oil. Later he adopted the type here shown. This actual example was used with the adjacent induction coil (No. 6) at the first radio telegraphic station at the Needles, Isle of Wight, in 1898. It consists of four brass balls, each about 2 in. diam., spaced about 1/4 in. apart in an ebonite frame.",,,"[{'name': 'Marconi', 'role': 'associated person'}, {'name': 'Righi', 'role': 'associated person'}]",,1898,brass;ebonite,each about 2 in. diam.;spaced about 1/4 in.,"In his earliest experiments (1895) Senatore Marconi made use of a spark gap of the type evolved by Prof. Righi (see No. 55), in which the two central spheres were immersed in vaseline oil. Later he adopted the type here shown. This actual example was used with the adjacent induction coil (No. 6) at the first radio telegraphic station at the Needles, Isle of Wight, in 1898.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['radio telegraphic']}"
8,3,"1923-434, S.M. 2159",Whole,N/A,MARCONI WIRELESS TELEGRAPH APPARATUS,loaned,MARCONI WIRELESS TELEGRAPH APPARATUS,"Plate 3. Lent by The Institution of Electrical Engineers. 1898-1902 A number of objects are shown which illustrate the work of the Marconi Company between the years 1898 and 1902. They include oscillation transformers or ""jiggers"" (A–G), condensers and inductance coils (H–K), and types of detectors used by Senatore Marconi (L–N). The mercury-iron anti-coherer is one of several which were used in Newfoundland when the first transatlantic wireless signals were received there in 1901. (See also No. 17.) In the mercury-iron coherer the original form of which was devised by P. Castelli, a signalman in the Italian Navy, two electrodes, either both of iron or one of iron and one of carbon, are placed in a glass tube, and between the electrodes is a drop of mercury. The Marconi magnetic detector is described at No. 33.",,,"[{'name': 'Marconi Company', 'role': 'manufacturer'}, {'name': 'Senatore Marconi', 'role': 'associated person'}, {'name': 'P. Castelli', 'role': 'devised'}, {'name': 'The Institution of Electrical Engineers', 'role': 'lender'}]",['Italian Navy'],1898-1902,"['mercury', 'iron', 'carbon']",,"A number of objects are shown which illustrate the work of the Marconi Company between the years 1898 and 1902. They include oscillation transformers or ""jiggers"" (A–G), condensers and inductance coils (H–K), and types of detectors used by Senatore Marconi (L–N). The mercury-iron anti-coherer is one of several which were used in Newfoundland when the first transatlantic wireless signals were received there in 1901.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['signalman']}"
9,FIRST MARCONI EXPERIMENTAL TUNED TRANSMITTER,"Inv. 1924-494, S.M. 2183",Part,N/A,FIRST MARCONI EXPERIMENTAL TUNED TRANSMITTER,loaned,FIRST MARCONI EXPERIMENTAL TUNED TRANSMITTER,"This is part of the first piece of rough experimental tuned coupled-circuit transmitting apparatus employed by Senatore Marconi at his station at ""The Haven,"" Poole Harbour, in 1899. It is the foundation of the famous ""7777"" patent of 1900. The improvements embodied in this patent were as follows:—At the transmitting end the original arrangement, called since then a ""plain aerial,"" was exchanged for one consisting of two coupled circuits. The secondary of the oscillation transformer was connected in series with an adjustable inductance in the aerial circuit, while the primary circuit included a spark gap and condenser. It is this latter portion of the original experimental apparatus which is here shown. It consists of a square wooden frame over which are wound several lengths of thickly insulated copper cable joined in parallel to form a single turn of very low resistance. The condenser and the terminals of the spark gap were connected to the secondary terminals of a 10-in. induction coil (shown at No. 10). The whole oscillation transformer when in use was generally immersed in insulating oil.",,,"[{'name': ""Marconi's Wireless Telegraph Company"", 'role': 'lender'}, {'name': 'Senatore Marconi', 'role': 'user'}]",['Poole Harbour'],"['1899', '1900']","['copper cable', 'insulating oil']",['10-in.'],"This is part of the first piece of rough experimental tuned coupled-circuit transmitting apparatus employed by Senatore Marconi at his station at ""The Haven,"" Poole Harbour, in 1899. It is the foundation of the famous ""7777"" patent of 1900. The improvements embodied in this patent were as follows:—At the transmitting end the original arrangement, called since then a ""plain aerial,"" was exchanged for one consisting of two coupled circuits. The secondary of the oscillation transformer was connected in series with an adjustable inductance in the aerial circuit, while the primary circuit included a spark gap and condenser. It is this latter portion of the original experimental apparatus which is here shown.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
