RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
0,1915-317,1920-84,Whole,N/A,[N/A],,tread mill,"is allowed to rotate at about 20 turns per min. The well is 161 ft. deep, and from 16 to 20 turns of the wheel, according to the level at which the water is standing, are required to bring the bucket to the surface. The weight of the water raised is 120 lb.; taking into account the weight of the bucket, chain and rope, the h.p. is about 0.2, which is as much as a donkey is usually considered capable of doing. A photograph of the tread mill is shown.",,,"[{'name': 'donkey', 'role': 'user'}]",[],,"['water', 'bucket', 'chain', 'rope']","['20 turns per min', '161 ft. deep', '16 to 20 turns of the wheel', '120 lb.']","The h.p. is about 0.2, which is as much as a donkey is usually considered capable of doing.",Engineering,1915,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['h.p.']}"
1,1915-317,1920-84,Whole,N/A,[N/A],,Tread Mill,"The tread mill is allowed to rotate at about 20 turns per min. The well is 161 ft. deep, and from 16 to 20 turns of the wheel, according to the level at which the water is standing, are required to bring the bucket to the surface. The weight of the water raised is 120 lb.; taking into account the weight of the bucket, chain and rope, the h.p. is about 0.2, which is as much as a donkey is usually considered capable of doing.
A photograph of the tread mill is shown.",,,"[{'name': 'donkey', 'role': 'user'}]",,1915,,"['20 turns per min', '161 ft. deep', '16 to 20 turns of the wheel', '120 lb.']","The tread mill is allowed to rotate at about 20 turns per min. The well is 161 ft. deep, and from 16 to 20 turns of the wheel, according to the level at which the water is standing, are required to bring the bucket to the surface. The weight of the water raised is 120 lb.; taking into account the weight of the bucket, chain and rope, the h.p. is about 0.2, which is as much as a donkey is usually considered capable of doing.",Engineering,1915,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['donkey']}"
2,1876-1249,825,Whole,N/A,Watt Collection,,MODEL OF A HORSE GEAR AND CRUSHING ROLL,"This horse gear is in the form of a horizontal lever turning on a vertical axis. A projecting stud on the upper side of the lever forms a crank-pin from which a connecting rod is carried to a swinging lever. From this lever two links proceed to the axle of a vertical edge runner, which can be rolled in the fixed trough. The trough has a grid bottom through which the crushed material escapes when sufficiently reduced.",,,"[{'name': 'Watt', 'role': 'collection'}]",,1876,,,This is a model of horse gear and a crushing roll.,,1876,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
3,1891-152,"19,241",Whole,N/A,MODEL OF HORSE GEAR,loaned,MODEL OF HORSE GEAR,"This shows a very general form of machine for applying the power of a horse to the driving of light machinery, such as chaff-cutters, small pumps, etc.; but although larger gears are made to transmit the power of two or four horses, they are not much used in this country when the power required approaches that of a small steam engine. The machine has a pole attached to the vertical axis of a bevel wheel of 103 teeth, gearing into a bevel pinion of 12 teeth, whose rotation is transmitted by a shaft coupled by universal joints to multiplying spur gear placed outside the circular horse track. The multiplying gear consists of a spur wheel of 76 teeth driving a pinion of 17 teeth, to the shaft of which a pulley is attached for further transmitting the power by belting. The horse in going once round the track causes the pulley to make 38.3 rev., and when walking at 2.5 miles per hour in a path 25 ft. in diam., drives the pulley at 108 rev. per min.",,,"[{'name': 'J. L. Larkworthy & Co.', 'role': 'lender'}]",,1891,,"['Scale 1: 8', '25 ft. in diam.']","This shows a very general form of machine for applying the power of a horse to the driving of light machinery, such as chaff-cutters, small pumps, etc.; but although larger gears are made to transmit the power of two or four horses, they are not much used in this country when the power required approaches that of a small steam engine.",,1891,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
4,,1888-391,Whole,N/A,HORSE GEAR,loaned,HORSE GEAR,"This is a small and compact form of gear patented in 1879 and intended for use with a pony. The slow speed of the vertical shaft turned by the animal is multiplied 30.2 times so as to give higher speed to the horizontal shaft from which machinery is to be driven. To the bracket that holds the pole is attached a short horizontal shaft, carrying a bevel wheel of 31 teeth and a bevel pinion of 22 teeth. The pinion gears into a horizontal bevel ring that forms part of the framing, and a bevel pinion of 16 teeth on the high-speed shaft. The bevel wheel gears with a bevel pinion of 22 teeth on a vertical axis in the centre, and this pinion carries gears with a pinion of 16 teeth on the high-speed shaft. The motion is transmitted through two Hooke's joints to the external driving pulley, a pawl gear preventing accidental rotation in the wrong direction.",,,"[{'name': 'J. Crowley & Co.', 'role': 'lender'}]",,1879,,,This is a small and compact form of gear patented in 1879 and intended for use with a pony. The slow speed of the vertical shaft turned by the animal is multiplied 30.2 times so as to give higher speed to the horizontal shaft from which machinery is to be driven.,,1888,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
5,1892-92,"19,250",Whole,N/A,,,MODEL OF INCLINED-PLANE HORSE GEAR,"A wooden platform, constructed as an endless belt, is supported on rollers, and at each extremity passes round a polygonal pulley. It is inclined at an angle of 13 deg., giving a rise of 1 in 4.5. The horse stands on the sloping platform, which is set in motion by the component of the horse's weight acting parallel to the platform, less the frictional losses, which are considerable. The horse's head is haltered to a bar in front, so that he is compelled to walk as the platform recedes.",,,"[{'name': 'J. Digeon', 'role': 'Made'}]",[],['1892'],['wooden'],"['Scale 1: 5', '13 deg.', '1 in 4.5']","The horse stands on the sloping platform, which is set in motion by the component of the horse's weight acting parallel to the platform, less the frictional losses, which are considerable. The horse's head is haltered to a bar in front, so that he is compelled to walk as the platform recedes.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
6,,1866-58 and 59,Whole,N/A,,,Stephen Hooper shaft,"Stephen Hooper shaft, and probably provided as an alternative source of power. The cap of the mill is carried on friction wheels, and is automatically slewed by a small bevel gear which works with a worm that gears into a ring of large arms. The regulating arrangement of this mill was patented in 1789 by Stephen Hooper, of Margate, and forms an early instance of the application of the centrifugal governor. Each sail is made up of small elements wound on separate rollers. These elements yield as the velocity of the windmill increases, centrifugal action causes these elements to be rolled up against the pull of a weighted spiral drum or fusee within the mill. Hooper also described a conical pendulum governor which, when the speed increased, would move a weighted lever connected with the friction wheels, and so stop the action of the mill. The sectional elevation, dated 1804, shows the construction of a four-armed windmill driving a sugar-cane mill, probably for squeezing the juice from sugar-cane. The cap of the mill is carried on friction wheels, and is turned by a large hand-wheel provided with a worm that gears into a spur ring secured to the top of the tower; by these means the mill can be adjusted as the direction of the wind alters.",,,"[{'name': 'Stephen Hooper', 'role': 'inventor'}]","[{'name': 'Margate', 'role': 'place of inventor'}]","['1789', '1804']",['sugar-cane'],,"provided as an alternative source of power. forms an early instance of the application of the centrifugal governor. centrifugal action causes these elements to be rolled up against the pull of a weighted spiral drum or fusee within the mill. would move a weighted lever connected with the friction wheels, and so stop the action of the mill. shows the construction of a four-armed windmill driving a sugar-cane mill, probably for squeezing the juice from sugar-cane. by these means the mill can be adjusted as the direction of the wind alters.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
7,1888-298,"19,244",Whole,N/A,MODEL OF PUMPING WINDMILL,loaned,MODEL OF PUMPING WINDMILL,"In this windmill, patented by Mr. F. Warner in 1868, the vanes yield as the pressure of the wind increases, and thus automatically adjust themselves to suit its force. The mill has 24 radial vanes, mounted between two rings, and each pivoted about its front edge so that the angle which it presents to the wind may vary. The ends of the pivots are connected with another ring which is attached to a rod running through the centre of the axle, and connected with a balance weight which keeps adjusting the vanes to such an angle as to make the resultant pressure on them constant. A tail is provided for setting the wheel of vanes in a direction parallel to the wind. The mill is mounted on a wooden tower and is arranged to drive a small pump from an eccentric on the axle. It is stopped by turning the vanes edgeways to the wind by means of a rod attached to the weighted lever.",,,"[{'name': 'F. Warner', 'role': 'inventor'}, {'name': 'J. Warner & Sons', 'role': 'lender'}]",[],1868,['wood'],['Scale 1: 12.'],"In this windmill, the vanes yield as the pressure of the wind increases, and thus automatically adjust themselves to suit its force. The mill has 24 radial vanes, mounted between two rings, and each pivoted about its front edge so that the angle which it presents to the wind may vary. The ends of the pivots are connected with another ring which is attached to a rod running through the centre of the axle, and connected with a balance weight which keeps adjusting the vanes to such an angle as to make the resultant pressure on them constant. A tail is provided for setting the wheel of vanes in a direction parallel to the wind. The mill is mounted on a wooden tower and is arranged to drive a small pump from an eccentric on the axle. It is stopped by turning the vanes edgeways to the wind by means of a rod attached to the weighted lever.",,1888,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
8,1888.297,"19,382",Whole,N/A,,loaned,MODEL OF PUMPING WINDMILL,"This form of self-regulating windmill was introduced by Mr. D. Halliday in 1877. The vanes are arranged radially in six groups forming sectors of the complete disc. The sectors are pivoted at the middle on axes forming chords of a circle, and levers on them are connected with a sliding sleeve on the axle, which is in turn connected with a weighted lever normally holding the vanes parallel with the wind. The angle of the sectors is adjusted by means of a lever and a rope passing over a pulley and attached to the weighted lever. The mill is directed by a tail, and is mounted on a tower. In the model it drives a pump, at the ground level, from a crank on the axle, but the machine is also used for driving light machinery by gearing and shafting.",,,"[{'name': 'T. McKenzie & Sons', 'role': 'maker'}, {'name': 'D. Halliday', 'role': 'introducer'}]",,1877,,Scale 1: 12.,"In the model it drives a pump, at the ground level, from a crank on the axle, but the machine is also used for driving light machinery by gearing and shafting.",,1888,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
9,1895,"1895-127 to 130, 19,363",Whole,N/A,MODELS OF WOODEN WATER-WHEELS,,MODELS OF WOODEN WATER-WHEELS,"These show various types of timber water-wheels, together with details of the joints employed in their construction. In the ""current"" wheel the radial blades dip into a running stream, and utilise only a small proportion of the energy of the water. The other three models are forms of overshot water-wheel; one has a closed sole plate, and so is unable to fill or empty its buckets rapidly through the lack of ventilation; the other two represent wheels with ventilated buckets.",,,[],"['Freiberg, Saxony']",1895,['wood'],['Scale 1: 10.'],"These show various types of timber water-wheels, together with details of the joints employed in their construction. In the ""current"" wheel the radial blades dip into a running stream, and utilise only a small proportion of the energy of the water. The other three models are forms of overshot water-wheel; one has a closed sole plate, and so is unable to fill or empty its buckets rapidly through the lack of ventilation; the other two represent wheels with ventilated buckets.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
