RowIndex,Old_Total,New_Total,Old_ObjectNames,New_ObjectNames,Old_Makers,New_Makers,Old_Organisations/Institutions,New_Organisations/Institutions,Old_Dates,New_Dates,Old_Places,New_Places,Old_Descriptions,New_Descriptions,Old_Other,New_Other,Unique_to_Old,Unique_to_New
0,16,4,1,1,0,0,1,1,1,0,1,0,10,2,2,0,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""S.M.""], ""dates"": [""1925""], ""places"": [""Japan""], ""descriptions"": [""primitive form of hearth"", ""used in Japan from the earliest times for the smelting of ores of copper, lead and tin"", ""of considerable utility to prospectors in remote districts"", ""simple cavity in the ground, lined with a mixture of clay and powdered charcoal"", ""A blowpipe, supplied with air by some sort of bellows, provides a blast for the combustion of the charcoal used for smelting"", ""In using the furnace the previously dried cavity is filled with charcoal, which is piled above it to a height of about 3 in."", ""When the charcoal is alight, and a gentle blast has been started, a layer of ore, previously calcined if rich in sulphur, is spread over its surface, with any flux of quartz or limestone that may be necessary, then another layer of charcoal, and then alternate layers of charge and charcoal until a conical heap has been formed."", ""The blast is increased, and the whole charge gradually sinks down as the charcoal is consumed and the ore is reduced to metal."", ""The blast is then stopped, the slag and unconsumed charcoal removed, and the metal allowed to solidify."", ""The solidified metal is then removed and put aside for subsequent treatment, or is left in the furnace and another charge worked upon it.""], ""other"": [""Plate I, No. 1, p. 12."", ""Inv. 1925-25, S.M. 2301.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""Sectioned model of early prospecting furnace"", ""Metallurgy model; model""], ""other"": []}"
1,14,0,1,0,0,0,1,0,2,0,1,0,7,0,2,0,"{""object_names"": [""MODEL OF JAPANESE TIN FURNACE""], ""makers"": [], ""organisations/institutions"": [""S.M.""], ""dates"": [""1883"", ""twenty centuries previously""], ""places"": [""Japan""], ""descriptions"": [""Scale 1 : 8."", ""This is a model of a type of primitive furnace used for smelting ores of tin in Japan, in use in 1883, and probably for twenty centuries previously."", ""The furnace consists of a shallow cavity in the ground (see No. 1), lined with a layer of clay and charcoal, about 3 in. thick."", ""A blast of air is supplied to the cavity by a pipe connected to a bellows."", ""The workmen are protected from the heat by a wall of wattlework covered with clay."", ""The well-dried hearth is filled with charcoal, a fire is started, alternate layers of tin ore and charcoal are placed upon it, and a steady blast is maintained."", ""As the tin is reduced it gradually settles down; it is removed by raking aside the unconsumed ore and charcoal, and ladling the metal into clay moulds."", ""A similar, but somewhat larger, furnace was used for smelting copper ores.""], ""other"": [""Inv. 1925-119"", ""2593""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [], ""other"": []}"
2,17,5,1,1,0,0,2,0,2,0,3,1,7,2,2,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum"", ""Budapest""], ""dates"": [""at least a thousand years"", ""1897""], ""places"": [""Gyalar, in Hungary"", ""Budapest""], ""descriptions"": [""Scale 1 : 4."", ""This is a sectional model of an old furnace found near Gyalar, in Hungary, and exhibited at Budapest in 1897."", ""The furnace had been cut out of the solid rock and was semi-circular in girth, the front being built up with dressed stones."", ""The furnace was 2 ft. 6 in. in diam. at the chimney, and 1 ft. outside at the bottom of the hearth."", ""The total depth was 5 ft. 3 in."", ""The lower portion of the furnace was lined with refractory material."", ""The blast was introduced through a pipe passing through the lower part of the front wall."", ""The bloom of iron was probably removed through an aperture made at the bottom of this wall, though the original description of the furnace does not state exactly how this was carried out."", ""The furnace was provided with a cover and a charging platform."", ""A mass of iron was found in it.""], ""other"": [""Plate II, p. 13"", ""Inv. 1925-115, S.M. 2316""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [""Transylvania""], ""descriptions"": [""Metallurgy model"", ""model""], ""other"": [""scale 1:4""]}"
3,22,5,1,1,1,0,1,1,3,1,4,0,9,1,3,1,"{""object_names"": [], ""makers"": [""Museum""], ""organisations/institutions"": [], ""dates"": [""1293"", ""1834"", ""1640""], ""places"": [""Catalonia"", ""Spain"", ""Pyrenees"", ""Montgaillard"", ""Ari\u00e8ge""], ""descriptions"": [""primitive type of hearth for the production of malleable iron, in which the fire is urged by bellows"", ""method reached a high development and survived long enough to be technically described"", ""furnace represented was in use at Montgaillard"", ""building used as the forge was situated where water power was available"", ""furnace was close beside the main wall of the building and consisted of a rectangular hearth, at the floor level lined with refractory stone, and clay, except at the working side, which was of wrought iron to resist wear"", ""Through the wall projected, at an inclination of about 40 deg., the tuy\u00e8re, which was made of a piece of copper sheet bent into a conical tube. The end was joined by leather to a goose-neck on a wind chest, supplied with blast by an induced current apparatus known as a \u201ctrompe.\u201d"", ""apparatus, which is believed to have been invented in Italy about 1640, consisted of a wooden cistern over two vertical trees or hooped wooden pipes. The top of each is contracted by two flat pieces of wood so that the water falls in a thin stream. Opposite this jet are holes in the trees to admit the induced air. The amount of water flowing in is determined by a lever-controlled wedge in the throat of each pipe. The water is separated from the blast by a baffle and escapes over a water-sealed weir."", ""The pressure obtained was from 1.5 to 2 lb. per sq. in. The blast was remarkably steady, but the entrained water introduced into the furnace was a drawback."", ""furnace, still red hot, was charged to the tuy\u00e8re level with fresh charcoal; brown hematite, averaging 45 per cent. metallic iron, was charged, covered to the top with charcoal breeze, and the blast turned on. Fresh charcoal and ore were thrown on and the blast adjusted from time to time. The smelter collected the various pieces of the iron and pushed them towards the centre of the hearth, where he agglomerated them. When it was seen that the iron had begun to burn, the blast was stopped and the bloom withdrawn by the aid of a bar and tongs and subjected to treatment under a helve hammer."", ""duration of a heat was about 6 hrs. A smelter and one assistant were required. The usual product was 100 kg. of merchant iron from 312 kg. of ore with a consumption of 340 kg. of charcoal.""], ""other"": [""Scale 1 : 20."", ""Made from drawings prepared in the Museum."", ""Plate I, No. 2, p 12.""]}","{""object_names"": [""furnace with 10 small tools""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Metallurgy model""], ""other"": [""(1293-1834)""]}"
4,7,7,1,1,0,0,0,1,1,0,1,0,3,3,1,2,"{""object_names"": [""MODEL OF CHARCOAL BLAST FURNACE""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1894""], ""places"": [""German""], ""descriptions"": [""This is a sectional model"", ""using charcoal as fuel"", ""The upper part is a truncated cone of masonry held together by iron bands""], ""other"": [""Scale 1 : 24""]}","{""object_names"": [""Model of a charcoal blast furnace""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""A sectional model of a German furnace"", ""Type: Furnaces and Kilns"", ""Materials and Technology: iron, masonry, charcoal""], ""other"": [""SMG Number: 1933-169"", ""ACC No: 1933/169""]}"
5,13,4,1,1,0,0,1,1,1,0,1,0,7,1,2,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""S.M.""], ""dates"": [""prior to 1850""], ""places"": [""South Wales""], ""descriptions"": [""truncated square pyramid, constructed of massive masonry with an independent lining of firebrick blocks, separated from it by a layer of sand"", ""Four arched openings were left in the base, on one for the fore-hearth and tap-hole and three for tuy\u00e8res; these were connected by a tunnel conveying the blast main."", ""The ore and fuel were fed in at the open top, through four openings in the tunnel head."", ""The blowing engine supplied blast at a pressure of 2 or 3 lb. per sq. in. to two cold-blast tuy\u00e8res through leather \u201cgoose-necks,\u201d and to the third hot-blast tuy\u00e8re through a ball-and-socket jointed cast-iron goose-neck."", ""The small pipe stove employed, by which some of the blast was heated to a temperature of 370\u00b0C., was arranged at one side; it consisted of nine semicircular cast-iron pipes placed parallel, in a chamber heated by a coal fire."", ""In the model the roof of the stove is raised several inches to show the arrangement of the pipes.""], ""other"": [""Scale 1 : 12"", ""Inv. 1883-400""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""A scale model representing a South Wales blast furnace from the Pen-y-darren Ironworks.""], ""other"": [""SMG reference: 1932-400""]}"
6,15,12,1,1,0,0,0,1,1,1,2,1,9,5,2,3,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [""Gwendreath, South Wales""], ""descriptions"": [""inside shape is roughly that of two truncated cones with their bases together and a hearth of rectangular section below"", ""In three sides of the hearth are inserted the seven tuy\u00e8res, 1.5 to 2.75 in. diam., and on the fourth is the cinder notch"", ""furnace was 30 ft. high, 4 ft. sq. at the hearth, 12 ft. diam. at the boshes, and 8 ft. diam. at the throat"", ""charge to produce 1 ton of pig was: 35 cwt. of anthracite, 45 cwt. of calcined ironstone, and 16 cwt. of limestone"", ""3,000 cub. ft. of blast at a pressure of 2.25 lb. and temperature of 320\u00b0 C. were supplied per min."", ""output was 105 tons per week""], ""other"": [""Scale 1 : 24"", ""Inv. 1894-196""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""Blast furnace model"", ""Sectional model"", ""Made of wood"", ""Painted in red, black, and white"", ""Depicts a blast furnace used for smelting iron ore into pig iron using anthracite and calcined ironstone.""], ""other"": [""model"", ""wood"", ""red, black and white""]}"
7,12,6,1,1,1,0,0,1,2,1,2,1,5,1,1,1,"{""object_names"": [], ""makers"": [""Frederick Levick, Esq.""], ""organisations/institutions"": [], ""dates"": [""about 1850"", ""1857-269""], ""places"": [""South Wales""], ""descriptions"": [""The furnace represented was erected at Blaina Iron Works, South Wales, about 1850. It has a cylindrical shaft on a square base, with three tuy\u00e8res and the usual cinder-notch and tap-hole. A pair of cast-iron bearers, crossing one another just below the top, carry a cast-iron cup, in which there is placed a perforated wrought-iron tube placed concentrically with the cone, but not quite touching it, and outside slides another tube suspended by flat link chains from an arched lever; the latter, when lowered on to the cone, completely closes the top, and the gases pass away through a rectangular tube, controlled by a butterfly valve, to be utilised.""], ""other"": [""(Scale 1 : 24.)""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""Metallurgy model; model""], ""other"": [""(scale 1:24)""]}"
8,29,6,1,1,1,0,2,1,1,0,3,0,16,4,5,0,"{""object_names"": [""SECTIONAL MODEL OF BLAST FURNACE""], ""makers"": [""E. P. Martin, Esq.""], ""organisations/institutions"": [""Dowlais Iron, Steel & Coal Co."", ""Cardiff steel works""], ""dates"": [""1900""], ""places"": [""South Wales"", ""Cardiff"", ""Great Britain""], ""descriptions"": [""Scale 1 : 24."", ""Plate IV. p. 15."", ""Represents one of the four furnaces at the Cardiff steel works of the Dowlais Iron, Steel & Coal Co., South Wales."", ""Hot blast is admitted through eight tuy\u00e8res, while above them are four \u201cmonkey\u201d tuy\u00e8res, by which cold blast can be introduced should the charge show any signs of \u201cscaffolding.\u201d"", ""Tuy\u00e8res are cooled by water circulating through wrought-iron pipes cast in their walls, and the boshes of the furnace are cooled by 40 cast-iron blocks, through which water is circulated in the same manner; the cooling water for both is supplied from an annular channel, from which it passes to distributing boxes and regulating cocks."", ""Furnace top is closed by the cup and cone arrangement; the cone or bell is supported by rods from two levers, mounted in bearings on supporting girders, and connected to a linkage that ensures vertical motion."", ""Counter-balanced and is moved by hand gearing controlled by a brake."", ""When the top of the furnace is closed, the gases pass through the \u201cdown-comers\u201d to an underground flue, from which they are led to the hot blast stoves and boilers, where they are burnt."", ""Charge of coke and ore, with limestone to act as a flux, is tipped into the cup out of small barrows, which are raised to the gallery at the furnace top by a hydraulic hoist."", ""When the bell is lowered and the charge enters the furnace, the escaping gas is ignited by a fire kept constantly burning at the top of the furnace so that the poisonous carbon monoxide is converted into the less dangerous carbon dioxide; the charging mechanism is provided with an iron shelter for the protection of the workman."", ""Slag, which floats above the molten metal in the hearth, is run off at intervals into ladles, mounted on railway trucks, which, after being hauled to the slag heap, discharge their loads by side-tipping."", ""Molten metal is tapped at intervals into a sand channel, which leads it to the pig beds, where it is cast into the form of large sows and combs, which, when cooled, are carried to a hydraulic machine by which the pigs and sows are broken into short lengths and discharged into railway trucks."", ""Furnace represented is 75 ft. high from the hearth and 85 ft. from the works rail level; the diam. at the hearth is 9 ft., and at the boshes 20 ft.; the output of the furnace is about 1,300 tons of pig iron per week."", ""Blast is heated by Cowper stoves, each 68 ft. high by 24 ft. diam.; three stoves are provided for each furnace, so that, in addition to the pair working alternately, there is a spare one for use when repairs become necessary."", ""On the ground level instruments are provided for recording on paper strips moved by clockwork the temperature of the blast, the times of charging, etc.""], ""other"": [""Inv. 1900-193"", ""22218-9"", ""40 cast-iron blocks"", ""8 tuy\u00e8res"", ""4 \u201cmonkey\u201d tuy\u00e8res""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""A sectional model of a blast furnace."", ""Built to a scale of 1:24."", ""Shows the internal structure and operation of a blast furnace."", ""Demonstrates the process of iron smelting and the use of hot and cold blast.""], ""other"": []}"
9,27,4,1,1,1,0,2,1,1,0,2,0,14,1,6,1,"{""object_names"": [], ""makers"": [""E. P. Martin, Esq.""], ""organisations/institutions"": [""Dowlais Iron, Steel & Coal Co.""], ""dates"": [""1900""], ""places"": [""Cardiff"", ""South Wales""], ""descriptions"": [""This represents one of the four furnaces at the Cardiff steel works of the Dowlais Iron, Steel & Coal Co., South Wales."", ""The hot blast is admitted through eight tuy\u00e8res, while above them are four \u201cmonkey\u201d tuy\u00e8res, by which cold blast can be introduced should the charge show any signs of \u201cscaffolding.\u201d"", ""The tuy\u00e8res are cooled by water circulating through wrought-iron pipes cast in their walls, and the boshes of the furnace are cooled by 40 cast-iron blocks, through which water is circulated in the same manner; the cooling water for both is supplied from an annular channel, from which it passes to distributing boxes and regulating cocks."", ""The furnace top is closed by the cup and cone arrangement; the cone or bell is supported by rods from two levers, mounted in bearings on supporting girders, and connected to a linkage that ensures vertical motion. It is counter-balanced and is moved by hand gearing controlled by a brake."", ""When the top of the furnace is closed, the gases pass through the \u201cdown-comers\u201d to an underground flue, from which they are led to the hot blast stoves and boilers, where they are burnt."", ""The charge of coke and ore, with limestone to act as a flux, is tipped into the cup out of small barrows, which are raised to the gallery at the furnace top by a hydraulic hoist."", ""When the bell is lowered and the charge enters the furnace, the escaping gas is ignited by a fire kept constantly burning at the top of the furnace so that the poisonous carbon monoxide is converted into the less dangerous carbon dioxide; the charging mechanism is provided with an iron shelter for the protection of the workman."", ""The slag, which floats above the molten metal in the hearth, is run off at intervals into ladles, mounted on railway trucks, which, after being hauled to the slag heap, discharge their loads by side-tipping."", ""The molten metal is tapped at intervals into a sand channel, which leads it to the pig beds, where it is cast into the form of large sows and combs, which, when cooled, are carried to a hydraulic machine by which the pigs and sows are broken into short lengths and discharged into railway trucks."", ""The blast furnace represented is 75 ft. high from the hearth and 85 ft. from the works rail level; the diam. at the hearth is 9 ft., and at the boshes 20 ft.; the output of the furnace is about 1,300 tons of pig iron per week."", ""The blast is heated by Cowper stoves, each 68 ft. high by 24 ft. diam.; three stoves are provided for each furnace, so that, in addition to the pair working alternately, there is a spare one for use when repairs become necessary."", ""On the ground level instruments are provided for recording on paper strips moved by clockwork the temperature of the blast, the times of charging, etc.""], ""other"": [""(Scale 1 : 24.)"", ""Plate IV."", ""p. 15."", ""Inv. 1900-193"", ""22218-9.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [], ""places"": [], ""descriptions"": [""A sectional model of a blast furnace.""], ""other"": [""SMG ID: 1900-193/22218-9""]}"
