RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
0,No. 1,S.M. 2301,Whole,N/A,,,SECTIONAL MODEL OF PRIMITIVE PROSPECTING FURNACE.,"This is a model of a primitive form of hearth, used in Japan from the earliest times for the smelting of ores of copper, lead and tin, and is of considerable utility to prospectors in remote districts. The furnace consists of a simple cavity in the ground, lined with a mixture of clay and powdered charcoal. A blowpipe, supplied with air by some sort of bellows, provides a blast for the combustion of the charcoal used for smelting. In using the furnace the previously dried cavity is filled with charcoal, which is piled above it to a height of about 3 in. When the charcoal is alight, and a gentle blast has been started, a layer of ore, previously calcined if rich in sulphur, is spread over its surface, with any flux of quartz or limestone that may be necessary, then another layer of charcoal, and then alternate layers of charge and charcoal until a conical heap has been formed. The blast is increased, and the whole charge gradually sinks down as the charcoal is consumed and the ore is reduced to metal. The blast is then stopped, the slag and unconsumed charcoal removed, and the metal allowed to solidify. The solidified metal is then removed and put aside for subsequent treatment, or is left in the furnace and another charge worked upon it. Inv. 1925-25",,,[],"[{'name': 'Japan', 'role': 'used in'}]",earliest times,"['clay', 'powdered charcoal', 'copper', 'lead', 'tin', 'sulphur', 'quartz', 'limestone']","['Scale 1 : 4', 'height of about 3 in']","a primitive form of hearth, used in Japan from the earliest times for the smelting of ores of copper, lead and tin, and is of considerable utility to prospectors in remote districts.",Plate I,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
1,2593,1925-119,Whole,N/A,MODEL,,MODEL OF JAPANESE TIN FURNACE,"(Scale 1 : 8.) Used in 1883 This is a model of a type of primitive furnace used for smelting ores of tin in Japan, in use in 1883, and probably for twenty centuries previously. The furnace consists of a shallow cavity in the ground (see No. 1), lined with a layer of clay and charcoal, about 3 in. thick. A blast of air is supplied to the cavity by a pipe connected to a bellows. The workmen are protected from the heat by a wall of wattlework covered with clay. The well-dried hearth is filled with charcoal, a fire is started, alternate layers of tin ore and charcoal are placed upon it, and a steady blast is maintained. As the tin is reduced it gradually settles down; it is removed by raking aside the unconsumed ore and charcoal, and ladling the metal into clay moulds. A similar, but somewhat larger, furnace was used for smelting copper ores.",,,[],['Japan'],,"['clay', 'charcoal', 'tin ore', 'copper ores']","['Scale 1 : 8', '3 in. thick']","This is a model of a type of primitive furnace used for smelting ores of tin in Japan, in use in 1883, and probably for twenty centuries previously. The furnace consists of a shallow cavity in the ground (see No. 1), lined with a layer of clay and charcoal, about 3 in. thick. A blast of air is supplied to the cavity by a pipe connected to a bellows. The workmen are protected from the heat by a wall of wattlework covered with clay. The well-dried hearth is filled with charcoal, a fire is started, alternate layers of tin ore and charcoal are placed upon it, and a steady blast is maintained. As the tin is reduced it gradually settles down; it is removed by raking aside the unconsumed ore and charcoal, and ladling the metal into clay moulds. A similar, but somewhat larger, furnace was used for smelting copper ores.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
2,N/A,"1925-115, S.M. 2316",Whole,N/A,,,SECTIONAL MODEL OF ANCIENT IRON BLAST FURNACE,"This is a sectional model of an old furnace found near Gyalar, in Hungary, and exhibited at Budapest in 1897. It is believed to date back at least a thousand years. The furnace had been cut out of the solid rock and was semi-circular in girth, the front being built up with dressed stones. The furnace was 2 ft. 6 in. in diam. at the chimney, and 1 ft. outside at the bottom of the hearth. The total depth was 5 ft. 3 in. The lower portion of the furnace was lined with refractory material. The blast was introduced through a pipe passing through the lower part of the front wall. The bloom of iron was probably removed through an aperture made at the bottom of this wall, though the original description of the furnace does not state exactly how this was carried out. The furnace was provided with a cover and a charging platform. A mass of iron was found in it.",,,[],"[{'name': 'Gyalar', 'role': 'found near'}, {'name': 'Hungary', 'role': 'found near'}, {'name': 'Budapest', 'role': 'exhibited at'}]",at least a thousand years,"['iron', 'rock', 'dressed stones', 'refractory material']","['Scale 1 : 4', '2 ft. 6 in. in diam. at the chimney', '1 ft. outside at the bottom of the hearth', '5 ft. 3 in. in total depth']","['Scale 1 : 4.', 'This is a sectional model of an old furnace found near Gyalar, in Hungary, and exhibited at Budapest in 1897.', 'It is believed to date back at least a thousand years.', 'The furnace had been cut out of the solid rock and was semi-circular in girth, the front being built up with dressed stones.', 'The blast was introduced through a pipe passing through the lower part of the front wall.', 'The bloom of iron was probably removed through an aperture made at the bottom of this wall, though the original description of the furnace does not state exactly how this was carried out.', 'The furnace was provided with a cover and a charging platform.', 'A mass of iron was found in it.']","['Plate II, p. 13']",,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['old furnace']}"
3,,"1913-170, S.M. 430",Whole,N/A,,,MODEL OF CATALAN FURNACE.,"MODEL OF CATALAN FURNACE. (Scale 1 : 20.) Made from drawings prepared in the Museum. Plate I, No. 2, p 12. Made from drawings prepared in the Museum. This model represents a primitive type of hearth for the production of malleable iron, in which the fire is urged by bellows. Districts where this method reached a high development and survived long enough to be technically described were Catalonia, in Spain (hence the name given to the process), and the Pyrenees, where documentary evidence carries the practice back as far as 1293. The furnace represented was in use at Montgaillard, Department of Ariège, in 1834. The building used as the forge was situated where water power was available. The furnace was close beside the main wall of the building and consisted of a rectangular hearth, at the floor level lined with refractory stone, and clay, except at the working side, which was of wrought iron to resist wear. Through the wall projected, at an inclination of about 40 deg., the tuyère, which was made of a piece of copper sheet bent into a conical tube. The end was joined by leather to a goose-neck on a wind chest, supplied with blast by an induced current apparatus known as a “trompe.” This apparatus, which is believed to have been invented in Italy about 1640, consisted of a wooden cistern over two vertical trees or hooped wooden pipes. The top of each is contracted by two flat pieces of wood so that the water falls in a thin stream. Opposite this jet are holes in the trees to admit the induced air. The amount of water flowing in is determined by a lever-controlled wedge in the throat of each pipe. The water is separated from the blast by a baffle and escapes over a water-sealed weir. The pressure obtained was from 1.5 to 2 lb. per sq. in. The blast was remarkably steady, but the entrained water introduced into the furnace was a drawback. The furnace, still red hot, was charged to the tuyère level with fresh charcoal; brown hematite, averaging 45 per cent. metallic iron, was charged, covered to the top with charcoal breeze, and the blast turned on. Fresh charcoal and ore were thrown on and the blast adjusted from time to time. The smelter collected the various pieces of the iron and pushed them towards the centre of the hearth, where he agglomerated them. When it was seen that the iron had begun to burn, the blast was stopped and the bloom withdrawn by the aid of a bar and tongs and subjected to treatment under a helve hammer. The duration of a heat was about 6 hrs. A smelter and one assistant were required. The usual product was 100 kg. of merchant iron from 312 kg. of ore with a consumption of 340 kg. of charcoal.",,,"[{'name': 'unknown', 'role': 'inventor'}]","['Catalonia, in Spain', 'Pyrenees', 'Montgaillard, Department of Ariège', 'Italy']","['1293', '1834', '1640']","['malleable iron', 'refractory stone', 'clay', 'wrought iron', 'copper sheet', 'leather', 'wood', 'charcoal', 'brown hematite', 'charcoal breeze']","['Scale 1 : 20', 'about 40 deg.', '1.5 to 2 lb. per sq. in.', '6 hrs.', '100 kg.', '312 kg.', '340 kg.']","['This model represents a primitive type of hearth for the production of malleable iron, in which the fire is urged by bellows.', 'Districts where this method reached a high development and survived long enough to be technically described were Catalonia, in Spain (hence the name given to the process), and the Pyrenees, where documentary evidence carries the practice back as far as 1293.', 'The building used as the forge was situated where water power was available.', 'The blast was remarkably steady, but the entrained water introduced into the furnace was a drawback.', 'The smelter collected the various pieces of the iron and pushed them towards the centre of the hearth, where he agglomerated them.', 'When it was seen that the iron had begun to burn, the blast was stopped and the bloom withdrawn by the aid of a bar and tongs and subjected to treatment under a helve hammer.', 'The usual product was 100 kg. of merchant iron from 312 kg. of ore with a consumption of 340 kg. of charcoal.']","[""Richard—Études sur l'art d'extraire le Fer, 1838""]",1838,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['goose-neck']}"
4,1894-245,,Whole,N/A,MODEL OF CHARCOAL BLAST FURNACE,,MODEL OF CHARCOAL BLAST FURNACE,This is a sectional model of a German furnace using charcoal as fuel. The upper part is a truncated cone of masonry held together by iron bands.,,,"[{'name': 'German', 'role': 'user'}]",['Germany'],,"['masonry', 'iron']",['Scale 1 : 24'],This is a sectional model of a German furnace using charcoal as fuel.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
5,1883-400,S.M. 2300,Whole,N/A,MODEL,,MODEL OF A SOUTH WALES BLAST FURNACE,"(Scale 1 : 12.) This blast furnace at Pen-y-darren Ironworks represents a large example of the construction adopted in South Wales prior to 1850. The furnace was a truncated square pyramid, constructed of massive masonry with an independent lining of firebrick blocks, separated from it by a layer of sand. Four arched openings were left in the base, on one for the fore-hearth and tap-hole and three for tuyères; these were connected by a tunnel conveying the blast main. The ore and fuel were fed in at the open top, through four openings in the tunnel head. The blowing engine supplied blast at a pressure of 2 or 3 lb. per sq. in. to two cold-blast tuyères through leather “goose-necks,” and to the third hot-blast tuyère through a ball-and-socket jointed cast-iron goose-neck. The small pipe stove employed, by which some of the blast was heated to a temperature of 370°C., was arranged at one side; it consisted of nine semicircular cast-iron pipes placed parallel, in a chamber heated by a coal fire. (In the model the roof of the stove is raised several inches to show the arrangement of the pipes.)",,,[],"[{'name': 'South Wales', 'role': 'construction adopted'}]",['prior to 1850'],"['masonry', 'firebrick blocks', 'sand', 'leather', 'cast-iron']",['Scale 1 : 12.'],['This blast furnace at Pen-y-darren Ironworks represents a large example of the construction adopted in South Wales prior to 1850.'],[],[],"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
6,,1894-196,Whole,N/A,SECTIONAL MODEL OF ANTHRACITE BLAST FURNACE.,,SECTIONAL MODEL OF ANTHRACITE BLAST FURNACE.,"This represents a blast furnace used at Gwendreath, South Wales, about 1850. The inside shape is roughly that of two truncated cones with their bases together and a hearth of rectangular section below. In three sides of the hearth are inserted the seven tuyères, 1.5 to 2.75 in. diam., and on the fourth is the cinder notch. The furnace was 30 ft. high, 4 ft. sq. at the hearth, 12 ft. diam. at the boshes, and 8 ft. diam. at the throat. The charge to produce 1 ton of pig was: 35 cwt. of anthracite, 45 cwt. of calcined ironstone, and 16 cwt. of limestone; 3,000 cub. ft. of blast at a pressure of 2.25 lb. and temperature of 320° C. were supplied per min.; the output was 105 tons per week.",,,[],"['Gwendreath, South Wales']",about 1850,"['anthracite', 'calcined ironstone', 'limestone']","['Scale 1 : 24', '1.5 to 2.75 in. diam.', '30 ft. high', '4 ft. sq. at the hearth', '12 ft. diam. at the boshes', '8 ft. diam. at the throat', '35 cwt. of anthracite', '45 cwt. of calcined ironstone', '16 cwt. of limestone', '3,000 cub. ft. of blast', '2.25 lb.', '320° C.', '105 tons per week']","['This represents a blast furnace used at Gwendreath, South Wales, about 1850.', 'The inside shape is roughly that of two truncated cones with their bases together and a hearth of rectangular section below.', 'In three sides of the hearth are inserted the seven tuyères, 1.5 to 2.75 in. diam., and on the fourth is the cinder notch.', 'The charge to produce 1 ton of pig was: 35 cwt. of anthracite, 45 cwt. of calcined ironstone, and 16 cwt. of limestone; 3,000 cub. ft. of blast at a pressure of 2.25 lb. and temperature of 320° C. were supplied per min.; the output was 105 tons per week.']",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
7,,1857-269,Whole,N/A,,donated,MODEL OF WELSH BLAST FURNACE.,"The furnace represented was erected at Blaina Iron Works, South Wales, about 1850. It has a cylindrical shaft on a square base, with three tuyères and the usual cinder-notch and tap-hole. A pair of cast-iron bearers, crossing one another just below the top, carry a cast-iron cup, in which there is placed a perforated wrought-iron tube placed concentrically with the cone, but not quite touching it, and outside slides another tube suspended by flat link chains from an arched lever; the latter, when lowered on to the cone, completely closes the top, and the gases pass away through a rectangular tube, controlled by a butterfly valve, to be utilised.",,,"[{'name': 'Frederick Levick', 'role': 'donor'}]",['South Wales'],about 1850,"['cast-iron', 'wrought-iron']",['Scale 1 : 24.'],"The furnace represented was erected at Blaina Iron Works, South Wales, about 1850.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
8,,"1900-193, 22218-9",Whole,N/A,,,SECTIONAL MODEL OF BLAST FURNACE,"This represents one of the four furnaces at the Cardiff steel works of the Dowlais Iron, Steel & Coal Co., South Wales. The hot blast is admitted through eight tuyères, while above them are four “monkey” tuyères, by which cold blast can be introduced should the charge show any signs of “scaffolding.” The tuyères are cooled by water circulating through wrought-iron pipes cast in their walls, and the boshes of the furnace are cooled by 40 cast-iron blocks, through which water is circulated in the same manner; the cooling water for both is supplied from an annular channel, from which it passes to distributing boxes and regulating cocks. The furnace top is closed by the cup and cone arrangement; the cone or bell is supported by rods from two levers, mounted in bearings on supporting girders, and connected to a linkage that ensures vertical motion. It is counter-balanced and is moved by hand gearing controlled by a brake. When the top of the furnace is closed, the gases pass through the “down-comers” to an underground flue, from which they are led to the hot blast stoves and boilers, where they are burnt. The charge of coke and ore, with limestone to act as a flux, is tipped into the cup out of small barrows, which are raised to the gallery at the furnace top by a hydraulic hoist. When the bell is lowered and the charge enters the furnace, the escaping gas is ignited by a fire kept constantly burning at the top of the furnace so that the poisonous carbon monoxide is converted into the less dangerous carbon dioxide; the charging mechanism is provided with an iron shelter for the protection of the workman. The slag, which floats above the molten metal in the hearth, is run off at intervals into ladles, mounted on railway trucks, which, after being hauled to the slag heap, discharge their loads by side-tipping. The molten metal is tapped at intervals into a sand channel, which leads it to the pig beds, where it is cast into the form of large sows and combs, which, when cooled, are carried to a hydraulic machine by which the pigs and sows are broken into short lengths and discharged into railway trucks. The blast furnace represented is 75 ft. high from the hearth and 85 ft. from the works rail level; the diam. at the hearth is 9 ft., and at the boshes 20 ft.; the output of the furnace is about 1,300 tons of pig iron per week. The blast is heated by Cowper stoves, each 68 ft. high by 24 ft. diam.; three stoves are provided for each furnace, so that, in addition to the pair working alternately, there is a spare one for use when repairs become necessary. On the ground level instruments are provided for recording on paper strips moved by clockwork the temperature of the blast, the times of charging, etc.",,poisonous carbon monoxide,"[{'name': 'E. P. Martin', 'role': 'information furnished by'}]",['South Wales'],,wrought-iron; cast-iron; coke; ore; limestone; pig iron,Scale 1 : 24; 75 ft. high; 85 ft. from the works rail level; diam. at the hearth is 9 ft.; at the boshes 20 ft.; each 68 ft. high by 24 ft. diam.,"This represents one of the four furnaces at the Cardiff steel works of the Dowlais Iron, Steel & Coal Co., South Wales. The hot blast is admitted through eight tuyères, while above them are four “monkey” tuyères, by which cold blast can be introduced should the charge show any signs of “scaffolding.” The tuyères are cooled by water circulating through wrought-iron pipes cast in their walls, and the boshes of the furnace are cooled by 40 cast-iron blocks, through which water is circulated in the same manner; the cooling water for both is supplied from an annular channel, from which it passes to distributing boxes and regulating cocks. The furnace top is closed by the cup and cone arrangement; the cone or bell is supported by rods from two levers, mounted in bearings on supporting girders, and connected to a linkage that ensures vertical motion. It is counter-balanced and is moved by hand gearing controlled by a brake. When the top of the furnace is closed, the gases pass through the “down-comers” to an underground flue, from which they are led to the hot blast stoves and boilers, where they are burnt. The charge of coke and ore, with limestone to act as a flux, is tipped into the cup out of small barrows, which are raised to the gallery at the furnace top by a hydraulic hoist. When the bell is lowered and the charge enters the furnace, the escaping gas is ignited by a fire kept constantly burning at the top of the furnace so that the poisonous carbon monoxide is converted into the less dangerous carbon dioxide; the charging mechanism is provided with an iron shelter for the protection of the workman. The slag, which floats above the molten metal in the hearth, is run off at intervals into ladles, mounted on railway trucks, which, after being hauled to the slag heap, discharge their loads by side-tipping. The molten metal is tapped at intervals into a sand channel, which leads it to the pig beds, where it is cast into the form of large sows and combs, which, when cooled, are carried to a hydraulic machine by which the pigs and sows are broken into short lengths and discharged into railway trucks. The blast furnace represented is 75 ft. high from the hearth and 85 ft. from the works rail level; the diam. at the hearth is 9 ft., and at the boshes 20 ft.; the output of the furnace is about 1,300 tons of pig iron per week. The blast is heated by Cowper stoves, each 68 ft. high by 24 ft. diam.; three stoves are provided for each furnace, so that, in addition to the pair working alternately, there is a spare one for use when repairs become necessary. On the ground level instruments are provided for recording on paper strips moved by clockwork the temperature of the blast, the times of charging, etc.",Plate IV. p. 15,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['monkey tuyères']}"
9,,"1900-193, 22218-9",Part,N/A,,,SECTIONAL MODEL OF BLAST FURNACE,"This represents one of the four furnaces at the Cardiff steel works of the Dowlais Iron, Steel & Coal Co., South Wales. The hot blast is admitted through eight tuyères, while above them are four “monkey” tuyères, by which cold blast can be introduced should the charge show any signs of “scaffolding.” The tuyères are cooled by water circulating through wrought-iron pipes cast in their walls, and the boshes of the furnace are cooled by 40 cast-iron blocks, through which water is circulated in the same manner; the cooling water for both is supplied from an annular channel, from which it passes to distributing boxes and regulating cocks. The furnace top is closed by the cup and cone arrangement; the cone or bell is supported by rods from two levers, mounted in bearings on supporting girders, and connected to a linkage that ensures vertical motion. It is counter-balanced and is moved by hand gearing controlled by a brake. When the top of the furnace is closed, the gases pass through the “down-comers” to an underground flue, from which they are led to the hot blast stoves and boilers, where they are burnt. The charge of coke and ore, with limestone to act as a flux, is tipped into the cup out of small barrows, which are raised to the gallery at the furnace top by a hydraulic hoist. When the bell is lowered and the charge enters the furnace, the escaping gas is ignited by a fire kept constantly burning at the top of the furnace so that the poisonous carbon monoxide is converted into the less dangerous carbon dioxide; the charging mechanism is provided with an iron shelter for the protection of the workman. The slag, which floats above the molten metal in the hearth, is run off at intervals into ladles, mounted on railway trucks, which, after being hauled to the slag heap, discharge their loads by side-tipping. The molten metal is tapped at intervals into a sand channel, which leads it to the pig beds, where it is cast into the form of large sows and combs, which, when cooled, are carried to a hydraulic machine by which the pigs and sows are broken into short lengths and discharged into railway trucks. The blast furnace represented is 75 ft. high from the hearth and 85 ft. from the works rail level; the diam. at the hearth is 9 ft., and at the boshes 20 ft.; the output of the furnace is about 1,300 tons of pig iron per week. The blast is heated by Cowper stoves, each 68 ft. high by 24 ft. diam.; three stoves are provided for each furnace, so that, in addition to the pair working alternately, there is a spare one for use when repairs become necessary. On the ground level instruments are provided for recording on paper strips moved by clockwork the temperature of the blast, the times of charging, etc. Inv.",,poisonous carbon monoxide,"[{'name': 'E. P. Martin', 'role': 'information furnished by'}]",['South Wales'],,wrought-iron; cast-iron; coke; ore; limestone; pig iron,Scale 1 : 24; 75 ft. high; 85 ft. from the works rail level; diam. at the hearth is 9 ft.; at the boshes 20 ft.; each 68 ft. high by 24 ft. diam.,"This represents one of the four furnaces at the Cardiff steel works of the Dowlais Iron, Steel & Coal Co. The hot blast is admitted through eight tuyères, while above them are four “monkey” tuyères, by which cold blast can be introduced should the charge show any signs of “scaffolding.” The tuyères are cooled by water circulating through wrought-iron pipes cast in their walls, and the boshes of the furnace are cooled by 40 cast-iron blocks, through which water is circulated in the same manner; the cooling water for both is supplied from an annular channel, from which it passes to distributing boxes and regulating cocks. The furnace top is closed by the cup and cone arrangement; the cone or bell is supported by rods from two levers, mounted in bearings on supporting girders, and connected to a linkage that ensures vertical motion. It is counter-balanced and is moved by hand gearing controlled by a brake. When the top of the furnace is closed, the gases pass through the “down-comers” to an underground flue, from which they are led to the hot blast stoves and boilers, where they are burnt. The charge of coke and ore, with limestone to act as a flux, is tipped into the cup out of small barrows, which are raised to the gallery at the furnace top by a hydraulic hoist. When the bell is lowered and the charge enters the furnace, the escaping gas is ignited by a fire kept constantly burning at the top of the furnace so that the poisonous carbon monoxide is converted into the less dangerous carbon dioxide; the charging mechanism is provided with an iron shelter for the protection of the workman. The slag, which floats above the molten metal in the hearth, is run off at intervals into ladles, mounted on railway trucks, which, after being hauled to the slag heap, discharge their loads by side-tipping. The molten metal is tapped at intervals into a sand channel, which leads it to the pig beds, where it is cast into the form of large sows and combs, which, when cooled, are carried to a hydraulic machine by which the pigs and sows are broken into short lengths and discharged into railway trucks. The blast furnace represented is 75 ft. high from the hearth and 85 ft. from the works rail level; the diam. at the hearth is 9 ft., and at the boshes 20 ft.; the output of the furnace is about 1,300 tons of pig iron per week. The blast is heated by Cowper stoves, each 68 ft. high by 24 ft. diam.; three stoves are provided for each furnace, so that, in addition to the pair working alternately, there is a spare one for use when repairs become necessary. On the ground level instruments are provided for recording on paper strips moved by clockwork the temperature of the blast, the times of charging, etc.",Plate IV. p. 15,,"{'count': 0, 'terms': []}","{'count': 2, 'terms': ['monkey tuyères', 'scaffolding']}"
