RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
0,,1920-388,Whole,N/A,DIAGRAM OF TRIANGULATION MARKS OF THE ORDNANCE SURVEY,,DIAGRAM OF TRIANGULATION MARKS OF THE ORDNANCE SURVEY,"The primary (first order) triangulation stations are now marked by means of a gun-metal bolt let into a block of concrete 2-ft. cube. The exact point is indicated by a small hole drilled in the top of the bolt, which is protected by an iron cover. The top of the block is at least two feet below the surface of the ground, except when set in solid rock. A cairn is built over the point when circumstances allow. The secondary triangulation stations are marked in the same way, except that the dimensions of the block, bolt and cover are all less than in the case of the primary stations. The tertiary stations are marked in the same way as permanent traverse stations. A brass bolt, having a cylindrical hole 7/16ths of an inch diameter drilled in its top, is cemented into a 30-in. iron socket, which is rammed into the ground until it is from 9 to 12 in. beneath the ground surface and then filled with concrete.",,,"[{'name': 'Ordnance Survey', 'role': 'creator'}]",['Museum'],,gun-metal; concrete; iron; brass; iron socket,2-ft. cube; 7/16ths of an inch diameter; 30-in.,"Diagrammatic representation of how triangulation marks for the Ordnance Survey were historically installed. Explains the different methods for primary, secondary, and tertiary stations, including materials, dimensions, and placement relative to ground surface. The system involves concrete blocks, bolts (gun-metal for primary, brass for tertiary), and protective covers or sockets to mark triangulation points for surveying purposes.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Ordnance Survey']}"
1,,1920-386,Whole,N/A,DIAGRAM OF TRAVERSE MARK OF THE ORDNANCE SURVEY,,DIAGRAM OF TRAVERSE MARK OF THE ORDNANCE SURVEY,"To provide additional points for the control of the detailed survey, traverse lines are run between third or fourth order triangulation points with a theodolite by which, at each change of direction of the traverse line (traverse point), the azimuth of the forward line is measured. All such traverse points in towns are now marked by means of a brass bolt, into the top of which can be fitted the 15-in. observing rod or the foot of the traverse pole. For temporary marks the bolts are cemented into the curb of the pavement. For permanent marks a 30-in. iron socket, similar to the base of an iron telegraph pole (Figs. 1 and 2) is rammed into the ground till the top is 9 to 12 in. below the surface. The socket is filled with cement or concrete, and the bolt cemented in at the top. The number of points so marked varies according to the nature of the survey. In some continental cadastral surveys the average number is 20 to 50 per square kilometre in the country, and 100 to 150 in towns. In the highly cultivated land of Egypt where holdings are small but the land is level and unobstructed by hedges, about 16 to 20 per square kilometre are used.",,,"[{'name': 'Museum', 'role': 'maker'}]",['Museum'],,"['brass', 'iron', 'cement', 'concrete']","['15-in.', '30-in.', '9 to 12 in.', '20 to 50 per square kilometre', '100 to 150 in towns', '16 to 20 per square kilometre']","To provide additional points for the control of the detailed survey, traverse lines are run between third or fourth order triangulation points with a theodolite by which, at each change of direction of the traverse line (traverse point), the azimuth of the forward line is measured. All such traverse points in towns are now marked by means of a brass bolt, into the top of which can be fitted the 15-in. observing rod or the foot of the traverse pole. For temporary marks the bolts are cemented into the curb of the pavement. For permanent marks a 30-in. iron socket, similar to the base of an iron telegraph pole (Figs. 1 and 2) is rammed into the ground till the top is 9 to 12 in. below the surface. The socket is filled with cement or concrete, and the bolt cemented in at the top. The number of points so marked varies according to the nature of the survey. In some continental cadastral surveys the average number is 20 to 50 per square kilometre in the country, and 100 to 150 in towns. In the highly cultivated land of Egypt where holdings are small but the land is level and unobstructed by hedges, about 16 to 20 per square kilometre are used.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
2,"TRAVERSE MARK BOLT AND COVER, ORDNANCE SURVEY",1914-154,Whole,N/A,Ordnance Survey,donated,TRAVERSE MARK BOLT AND COVER,A cylindrical hole 7/16ths in. diam. is drilled in the head of the bolt into which the 15-in. observing rod or the foot of the traverse pole can be fitted. The bolt is protected by an iron cap or hydrant cover according to the nature of the surface. An observing pin and small circular spirit level for setting it vertical are also shown.,,,"[{'name': 'Ordnance Survey', 'role': 'presenter'}]",[],,['iron'],"['7/16ths in. diam.', '15-in.']",For traversing and setting out points in surveying.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
3,,1914-107,Whole,N/A,,donated,BRONZE TRIANGULATION MARK,"This type of mark set either in rock or masonry is used for marking the first order triangulation stations in France. It consists of a small cylindrical bronze bolt with grooved sides and a cross engraved on its upper face, the intersection of the cross indicating the station point.",,,"[{'name': 'French Government', 'role': 'donor'}]",['France'],,['bronze'],,This type of mark set either in rock or masonry is used for marking the first order triangulation stations in France. The intersection of the cross indicating the station point.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
4,1914-108,,Whole,N/A,NAME-PLATE FOR TRIANGULATION MARK,donated,NAME-PLATE FOR TRIANGULATION MARK,"This elliptical metal plate is fixed in masonry at a first order triangulation station in France, and carries a number corresponding to the particular station point.",,,"[{'name': 'French Government', 'role': 'donor'}]","[{'name': 'France', 'role': 'place used'}]",,['metal'],,"Used to mark a first order triangulation station, carrying a number corresponding to the particular station point.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
5,,1920-81,Whole,N/A,TRIANGULATION STATION MARK,,TRIANGULATION STATION MARK,This mark consists of a brass disc and shank cast in one piece. The shank is ribbed so as to grip securely the material—generally rock or concrete—in which the mark is set. One such mark is set at the surface and a similar one about 3 ft. directly underneath it at every triangulation station. The station point is defined by a small dot within a 20 mm. equilateral triangle engraved on the disc.,,,"[{'name': 'U.S. Coast and Geodetic Survey', 'role': 'presenter'}]",,,brass,20 mm.,This mark is used at every triangulation station to define the station point.,"U.S. Coast and Geodetic Survey Special Publication No. 26, p. 42",,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
6,,1920-82,Whole,N/A,,donated,MAGNETIC STATION MARK,"This mark is the older form of station mark used by the U.S. Coast and Geodetic Survey. Its shank is split so that a wedge can be inserted. When the mark is driven into the drill-hole, the wedge causes the shank to bulge and grip firmly the surrounding material. The station point is defined by a dot enclosed in two intersecting 20-mm. equilateral triangles engraved on the disc.",,,"[{'name': 'U.S. Coast and Geodetic Survey', 'role': 'donor'}]",[],,[],['20-mm.'],"This mark is the older form of station mark used by the U.S. Coast and Geodetic Survey. Its shank is split so that a wedge can be inserted. When the mark is driven into the drill-hole, the wedge causes the shank to bulge and grip firmly the surrounding material. The station point is defined by a dot enclosed in two intersecting 20-mm. equilateral triangles engraved on the disc.","['U.S. Coast and Geodetic Survey Special Publication No. 26, p. 42']",,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['older form']}"
7,,1920-78,Whole,N/A,HYDROGRAPHIC STATION MARK,,HYDROGRAPHIC STATION MARK,"This mark is the same as that used for triangulation station marks, except that the central hole or dot is here surrounded by a 2.5-cm. circle. The mark is set in a post or block of concrete, or wedged into a drill-hole in rock, after which a triangle or circle is chiselled round it. For underground station marks a similar disc is set 3 ft. below ground in a block of concrete, in rock or other suitable material.",,,"[{'name': 'U.S. Coast and Geodetic Survey', 'role': 'Presented by'}]",,,['concrete'],"['2.5-cm.', '3 ft.']",This mark is the same as that used for triangulation station marks.,"U.S. Coast and Geodetic Survey Special Publication No. 26, pp. 42–43.",,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
8,Inv. 1920-77,,Whole,N/A,REFERENCE MARK,,REFERENCE MARK,"Presented by the U.S. Coast and Geodetic Survey. This mark also consists of a metal disc and shank and is used to facilitate the recovery of station marks, especially where these are liable to damage or disturbance. The mark is placed so that the arrow engraved thereon points to the station mark, and the horizontal distance between the station mark and the groove cut across the shaft of the arrow is recorded. Reference marks are set in concrete posts or blocks, or in rock, at distances up to 20 yd. from the station marks.",,,"[{'name': 'U.S. Coast and Geodetic Survey', 'role': 'presented by'}]",[],,"['metal disc', 'shank', 'concrete']",['up to 20 yd.'],"Used to facilitate the recovery of station marks, especially where these are liable to damage or disturbance. The mark is placed so that the arrow engraved thereon points to the station mark, and the horizontal distance between the station mark and the groove cut across the shaft of the arrow is recorded.","U.S. Coast and Geodetic Survey Special Publication No. 26, pp. 42–43",,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
9,TRIANGULATION STATION MARK,1922-726,Whole,N/A,,,TRIANGULATION STATION MARK,"Stations of the Primary Triangulation of Canada are marked by means of circular metal bolts of the type exhibited, the bolts being embedded in concrete or leaded into rock. Both underground and surface marks are employed, and reference monuments provided to facilitate recovery of the station. The bolt consists of a 3-in. circular bronze disc, attached to a 3-in. cylindrical shank, which is corrugated and fox-wedged so that the shank expands tightly against the sides of the hole drilled to receive it when the bolt is driven in. The centre of the disc has a triangle engraved upon it, with a central hole punched to define the exact station point.",,,"[{'name': 'Geodetic Survey of Canada', 'role': 'presenter'}]",,,bronze; concrete; lead,3-in. circular; 3-in. cylindrical,"Stations of the Primary Triangulation of Canada are marked by means of circular metal bolts. Reference monuments are provided to facilitate recovery of the station. The centre of the disc has a triangle engraved upon it, with a central hole punched to define the exact station point.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
