RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
0,1753,1890-61,Whole,N/A,,loaned,PHOTOGRAPH OF THE CHARLES MORRISON MEMORIAL,"This is taken from a plaster cast commemorating the electric telegraph proposed in 1753 by ""C.M.""; believed by some to be Charles Morrison, an inhabitant of Renfrew. Other authorities identify the writer as Charles Marshall, who also, at one time lived at Renfrew. ""C.M."" suggested frictional electricity and a separate insulated wire for each symbol; the receiver noted the attraction by a ball attached to the wire, of a paper slip about $rac{1}{8}$-in. below it, on which was the symbol.",,,"[{'name': 'C.M.', 'role': 'proposer'}, {'name': 'Charles Morrison', 'role': 'inhabitant'}, {'name': 'Charles Marshall', 'role': 'writer'}, {'name': 'A. P. Paton', 'role': 'lender'}]","[{'value': 'Renfrew', 'role': 'lived at'}]",1753,['plaster cast'],['$\x0crac{1}{8}$-in.'],"Commemorating the electric telegraph proposed in 1753 by ""C.M."". Believed by some to be Charles Morrison, an inhabitant of Renfrew. Other authorities identify the writer as Charles Marshall, who also, at one time lived at Renfrew. ""C.M."" suggested frictional electricity and a separate insulated wire for each symbol; the receiver noted the attraction by a ball attached to the wire, of a paper slip about $rac{1}{8}$-in. below it, on which was the symbol.",,1753,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
1,20868,1894-158,Whole,N/A,RONALDS’ ELECTROSTATIC TELEGRAPH,donated,RONALDS’ ELECTROSTATIC TELEGRAPH,"This is a specimen of the conductor, together with a model of the dial used by Sir Francis Ronalds on the experimental electric telegraph circuit in the garden of his house in the Upper Mall, Hammersmith, in 1816. He employed a frictional electric machine (see Cat. No. 3) to charge the line, and at each end had a pith-ball electroscope which collapsed when the line was discharged. At the two stations were dials revolved synchronously by clockwork; the dials were marked with the alphabet, but were masked by front plates that left only one letter visible. The sender discharged the line when he saw the desired letter, and the receiver noted the letter at which the pith-balls collapsed. By the use of a code, a word or even a whole sentence could be conveyed by two or three discharges. Ronalds made his first experiments through eight miles of overhead wire suspended by silk from hooks in horizontal bars. He then laid down his underground line :— “A trench was dug in the garden 525 ft. in length and 4 ft. deep ; in this was laid a trough of wood 2 in. sq., lining the inside of it with pitch, and in this trough tubes were placed through which the wires ran. The joints between the glass tubes were made with soft wax. The trough was then covered with pieces of wood screwed down upon it while the pitch was hot ; these also were well covered with pitch and the earth then thrown into the trench again.” Some of this line was dug up in 1862. The invention was brought to the notice of the Admiralty, but it was then deemed “wholly unnecessary,” and Ronalds seems to have gone no further with it.",,,"[{'name': 'Sir Francis Ronalds', 'role': 'inventor'}, {'name': 'H.M. Postmaster-General', 'role': 'donor'}]",['Hammersmith'],1816,"['silk', 'wood', 'pitch', 'glass', 'soft wax']","['525 ft. in length', '4 ft. deep', '2 in. sq.']","This is a specimen of the conductor, together with a model of the dial used by Sir Francis Ronalds on the experimental electric telegraph circuit in the garden of his house in the Upper Mall, Hammersmith, in 1816. He employed a frictional electric machine (see Cat. No. 3) to charge the line, and at each end had a pith-ball electroscope which collapsed when the line was discharged. At the two stations were dials revolved synchronously by clockwork; the dials were marked with the alphabet, but were masked by front plates that left only one letter visible. The sender discharged the line when he saw the desired letter, and the receiver noted the letter at which the pith-balls collapsed. By the use of a code, a word or even a whole sentence could be conveyed by two or three discharges. Ronalds made his first experiments through eight miles of overhead wire suspended by silk from hooks in horizontal bars. He then laid down his underground line :— “A trench was dug in the garden 525 ft. in length and 4 ft. deep ; in this was laid a trough of wood 2 in. sq., lining the inside of it with pitch, and in this trough tubes were placed through which the wires ran. The joints between the glass tubes were made with soft wax. The trough was then covered with pieces of wood screwed down upon it while the pitch was hot ; these also were well covered with pitch and the earth then thrown into the trench again.” Some of this line was dug up in 1862. The invention was brought to the notice of the Admiralty, but it was then deemed “wholly unnecessary,” and Ronalds seems to have gone no further with it.",,1894,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['frictional electric machine']}"
2,,1876-87,Whole,N/A,FRICTIONAL ELECTRIC MACHINE. Plate I.,loaned,FRICTIONAL ELECTRIC MACHINE,This glass cylinder electric machine was used by Sir Francis Ronalds in his historic experiments in electric telegraphy at Hammersmith in 1816.,,,"[{'name': 'Sir Francis Ronalds', 'role': 'user'}]",['Hammersmith'],1816,['glass'],,This glass cylinder electric machine was used by Sir Francis Ronalds in his historic experiments in electric telegraphy.,See also Cat. No. 2.,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
3,,1877-341,Part,N/A,SCHILLING'S ELECTRIC TELEGRAPH,,COPY OF SCHILLING'S ELECTRIC TELEGRAPH. Plate I.,"This is a copy of a portion of the telegraph, preserved in the Imperial Academy of Sciences, Petrograd, which was the outcome of experiments made by Baron P. L. Schilling in 1825–32. The receiver part of the instrument consists of a galvanometer with a horizontal needle suspended by a silken thread. The needle carries above it a disc of paper painted black on one side and white on the other; by the deflection of the needle to right or left, two primary signals were obtained. The instrument was made almost "" dead beat "" by a plate on the axis dipping into a bath of mercury beneath. The alarm call shown consists of a horizontal needle suspended in a coil and so arranged that when deflected by the passage of a current it strikes a trigger gear that releases the escapement of a clockwork alarm. The currents were first transmitted by placing the ends of the line wires in a bath of mercury, but afterwards a simple key was added.","Imperial Academy of Sciences, Petrograd",mercury,"[{'name': 'British Telegraph Manufactory', 'role': 'maker'}, {'name': 'Baron P. L. Schilling', 'role': 'experimenter'}]",,1825–32,silken thread; paper; mercury,,"This is a copy of a portion of the telegraph which was the outcome of experiments made by Baron P. L. Schilling in 1825–32.  The needle carries above it a disc of paper painted black on one side and white on the other; by the deflection of the needle to right or left, two primary signals were obtained. The instrument was made almost "" dead beat "" by a plate on the axis dipping into a bath of mercury beneath. The alarm call shown consists of a horizontal needle suspended in a coil and so arranged that when deflected by the passage of a current it strikes a trigger gear that releases the escapement of a clockwork alarm. The currents were first transmitted by placing the ends of the line wires in a bath of mercury, but afterwards a simple key was added.",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Petrograd']}"
4,1835,1894-158A,Whole,N/A,TYPE USED FOR ORIGINAL MORSE TELEGRAPH,loaned,TYPE USED FOR ORIGINAL MORSE TELEGRAPH,"TYPE USED FOR ORIGINAL MORSE TELEGRAPH. Lent by H.M. Postmaster-General. 1835 These are relics of the electric telegraph devised by Prof. S. B. Morse and constructed by him in 1835. The transmitter consisted of a clockwork mechanism by means of which cast metal type, some of which are shown, were fed past a lever. The serrations on the edges of the type actuated the lever and thereby caused it to make intermittent contact in a pair of mercury cups. In the receiver an electro-magnetic arrangement caused a pen to make irregular V-shaped marks on a paper strip which was drawn past it by clockwork. These marks were interpreted as numbers which were arranged in a code-book. A model of the apparatus was worked through ten miles of insulated wire, wound upon two reels, in the year 1837. Inv. 1894-158A.",,,"[{'name': 'S. B. Morse', 'role': 'devised'}, {'name': 'S. B. Morse', 'role': 'constructed'}, {'name': 'H.M. Postmaster-General', 'role': 'donor'}]",,"['1835', '1837']","['metal type', 'mercury', 'paper strip', 'insulated wire']",['ten miles'],"These are relics of the electric telegraph devised by Prof. S. B. Morse and constructed by him in 1835. The transmitter consisted of a clockwork mechanism by means of which cast metal type, some of which are shown, were fed past a lever. The serrations on the edges of the type actuated the lever and thereby caused it to make intermittent contact in a pair of mercury cups. In the receiver an electro-magnetic arrangement caused a pen to make irregular V-shaped marks on a paper strip which was drawn past it by clockwork. These marks were interpreted as numbers which were arranged in a code-book. A model of the apparatus was worked through ten miles of insulated wire, wound upon two reels, in the year 1837.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
5,1835,Inv. 1894-158B,Whole,N/A,INSULATORS FOR MORSE TELEGRAPH,loaned,INSULATORS FOR MORSE TELEGRAPH,"These insulators were used by Prof. S. B. Morse for the telegraph which he constructed in 1835. A description of the apparatus which he employed will be found in the label which accompanies Cat. No. 5, ""Type used for original Morse Telegraph.""",,,"[{'name': 'S. B. Morse', 'role': 'user'}]",,1835,,,These insulators were used by Prof. S. B. Morse for the telegraph which he constructed in 1835.,"Cat. No. 5, ""Type used for original Morse Telegraph.""",,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['Prof.']}"
6,,1923-278,Whole,N/A,,loaned,SIR W. F. COOKE'S ORIGINAL ELECTRIC ALARUM,"The alarum is set in motion by means of an electro-magnet. The armature on being actuated removes a detent and allows the clockwork to ring the bell. Finding that the alarum would not work reliably, through even one mile of wire, Sir W. F. Cooke consulted Sir Charles Wheatstone with a view to finding a remedy. This resulted in the invention of the Wheatstone relay, a delicate instrument, which by responding to feeble currents, closes a local battery circuit through the coils of the alarum electro-magnet, and permits of signalling over great distances. Developments of the relay are in use in nearly all modern telegraph systems. The first meeting of Wheatstone and Cooke took place in February, 1837, and led to the establishment of the partnership which extended over many years and proved so productive of new ideas in the progress of the electric telegraph.",,,"[{'name': 'Sir W. F. Cooke', 'role': 'inventor'}, {'name': 'Sir Charles Wheatstone', 'role': 'inventor'}]",[],"February, 1837",[],[],"The alarum is set in motion by means of an electro-magnet. The armature on being actuated removes a detent and allows the clockwork to ring the bell. Finding that the alarum would not work reliably, through even one mile of wire, Sir W. F. Cooke consulted Sir Charles Wheatstone with a view to finding a remedy. This resulted in the invention of the Wheatstone relay, a delicate instrument, which by responding to feeble currents, closes a local battery circuit through the coils of the alarum electro-magnet, and permits of signalling over great distances. Developments of the relay are in use in nearly all modern telegraph systems. The first meeting of Wheatstone and Cooke took place in February, 1837, and led to the establishment of the partnership which extended over many years and proved so productive of new ideas in the progress of the electric telegraph.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
7,1837,1867-37,Part,N/A,INSULATED WIRE,,INSULATED WIRE,"This is a portion of the experimental telegraph line laid down between Euston and Camden Town by Messrs. Cooke & Wheatstone in 1837; the specimen was dug up about 30 years later. The arrangement consists of a wooden block of trapezoidal section, in the top and two sides of which five copper wires were inserted, in grooves containing a resinous material, and blocked up with strips of wood, the whole being afterwards coated with a protecting compound.",,,"[{'name': 'Cooke & Wheatstone', 'role': 'inventor'}, {'name': 'Cooke & Wheatstone', 'role': 'user'}]","['Euston', 'Camden Town']",1837,"['copper', 'resin', 'wood', 'protecting compound']",[],This is a portion of the experimental telegraph line laid down between Euston and Camden Town by Messrs. Cooke & Wheatstone in 1837; the specimen was dug up about 30 years later.,,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
8,1837,1876-1272,Whole,N/A,FIVE-NEEDLE INSTRUMENT,loaned,FIVE-NEEDLE INSTRUMENT,"This instrument was included in 1837 by Messrs. Cooke & Wheatstone in their first patent for improvements in giving signals by electric currents; a single-needle telegraph was, however, already known. Five galvanometers or magnetic needles and coils were used, arranged in a horizontal row on the vertical diamond-shaped dial; stops were placed to limit the deflection of the needles. Each needle was operated by a separate lever fitted with two finger keys, so arranged that a current could be sent in either direction. When signalling two needles were simultaneously deflected in opposite directions, the letter was indicated by the intersection of their centre lines on the dial and the point of intersection of their centre lines on the dial indicated the letter to be read off. Twenty letters could thus be signalled, and by employing the needles singly the ten numerals could be transmitted; these numerals were placed on the margins of the lower half of the dial. To obtain a closed circuit when the needles were used singly, a sixth lever and line wire were provided. The letters C, J, Q, U, X, and Z were not represented on the dial, other letters or combinations of letters being used instead. Plate 2.",,,"[{'name': 'Cooke & Wheatstone', 'role': 'inventor'}, {'name': 'H.M. Postmaster-General', 'role': 'lender'}]",,1837,galvanometers; magnetic needles; coils; metal (implied),,"This instrument was included in 1837 by Messrs. Cooke & Wheatstone in their first patent for improvements in giving signals by electric currents; a single-needle telegraph was, however, already known. When signalling two needles were simultaneously deflected in opposite directions, the letter was indicated by the intersection of their centre lines on the dial and the point of intersection of their centre lines on the dial indicated the letter to be read off. Twenty letters could thus be signalled, and by employing the needles singly the ten numerals could be transmitted; these numerals were placed on the margins of the lower half of the dial. The letters C, J, Q, U, X, and Z were not represented on the dial, other letters or combinations of letters being used instead.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
9,1876-1275,,Whole,N/A,DOUBLE-NEEDLE INSTRUMENT,loaned,DOUBLE-NEEDLE INSTRUMENT,"Lent by Messrs. Reid Bros. 1837 This is one of Messrs. Cooke & Wheatstone's instruments of 1837 which was used on the line between Paddington and Slough in 1842. In 1845 it created much interest through having secured the capture of a murderer. Owing to the frequent failure of one of the line wires, or of four or five-needle instruments, it was soon found by the operators that the alphabet could be formed by two needles only, if advantage were taken of repeated momentary deflections. The coils and needles are similar to those of the five-needle instrument, but the code was different, since the symbols were indicated by deflections of one or both of the needles; two line wires were used. An alarm which could be cut out by means of a handle at the side of the instrument was placed at the top. Plate 2. Inv. 1876-1275.",,,"[{'name': 'Reid Bros.', 'role': 'lender'}, {'name': 'Cooke & Wheatstone', 'role': 'maker'}]",[],['1837'],[],[],"[""This is one of Messrs. Cooke & Wheatstone's instruments of 1837 which was used on the line between Paddington and Slough in 1842."", 'In 1845 it created much interest through having secured the capture of a murderer.', 'Owing to the frequent failure of one of the line wires, or of four or five-needle instruments, it was soon found by the operators that the alphabet could be formed by two needles only, if advantage were taken of repeated momentary deflections.', 'The coils and needles are similar to those of the five-needle instrument, but the code was different, since the symbols were indicated by deflections of one or both of the needles; two line wires were used.', 'An alarm which could be cut out by means of a handle at the side of the instrument was placed at the top.']",[],,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
