RowIndex,Old_Total,New_Total,Old_ObjectNames,New_ObjectNames,Old_Makers,New_Makers,Old_Organisations/Institutions,New_Organisations/Institutions,Old_Dates,New_Dates,Old_Places,New_Places,Old_Descriptions,New_Descriptions,Old_Other,New_Other,Unique_to_Old,Unique_to_New
0,13,3,1,1,1,0,1,0,2,0,2,0,5,2,1,0,"{""object_names"": [""PHOTOGRAPH OF THE CHARLES MORRISON MEMORIAL""], ""makers"": [""A. P. Paton, Esq.""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1753"", ""1890-61""], ""places"": [""Renfrew""], ""descriptions"": [""This is taken from a plaster cast commemorating the electric telegraph proposed in 1753 by \""C.M.\""; believed by some to be Charles Morrison, an inhabitant of Renfrew."", ""Other authorities identify the writer as Charles Marshall, who also, at one time lived at Renfrew."", ""\""C.M.\"" suggested frictional electricity and a separate insulated wire for each symbol; the receiver noted the attraction by a ball attached to the wire, of a paper slip about 1/8-in. below it, on which was the symbol.""], ""other"": [""Inv.""]}","{""object_names"": [""Morrison memorial""], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Telecommunications photographs"", ""photographs""], ""other"": []}"
1,21,23,2,2,1,2,2,2,2,2,3,6,7,4,4,5,"{""object_names"": [""conductor"", ""model of the dial""], ""makers"": [""Sir Francis Ronalds""], ""organisations/institutions"": [""Admiralty""], ""dates"": [""1816""], ""places"": [""Upper Mall, Hammersmith"", ""Hammersmith""], ""descriptions"": [""specimen of the conductor, together with a model of the dial used by Sir Francis Ronalds on the experimental electric telegraph circuit in the garden of his house in the Upper Mall, Hammersmith, in 1816."", ""employed a frictional electric machine (see Cat. No. 3) to charge the line, and at each end had a pith-ball electroscope which collapsed when the line was discharged."", ""At the two stations were dials revolved synchronously by clockwork; the dials were marked with the alphabet, but were masked by front plates that left only one letter visible."", ""The sender discharged the line when he saw the desired letter, and the receiver noted the letter at which the pith-balls collapsed."", ""By the use of a code, a word or even a whole sentence could be conveyed by two or three discharges."", ""made his first experiments through eight miles of overhead wire suspended by silk from hooks in horizontal bars."", ""laid down his underground line :\u2014 \u201cA trench was dug in the garden 525 ft. in length and 4 ft. deep ; in this was laid a trough of wood 2 in. sq., lining the inside of it with pitch, and in this trough tubes were placed through which the wires ran. The joints between the glass tubes were made with soft wax. The trough was then covered with pieces of wood screwed down upon it while the pitch was hot ; these also were well covered with pitch and the earth then thrown into the trench again.\u201d"", ""Some of this line was dug up in 1862."", ""deemed \u201cwholly unnecessary\u201d""], ""other"": [""Presented by H.M. Postmaster-General"", ""Cat. No. 3"", ""(20868) Inv. 1894-158"", ""(20868)""]}","{""object_names"": [""Portions of Ronalds' electrostatic telegraph"", ""replica dial"", ""diagram of Sir Francis Ronalds' 1816 electrostatic telegraph""], ""makers"": [""Unknown maker"", ""Science Museum Workshops"", ""Science Museum""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1816-1894"", ""1994"", ""1920-1929""], ""places"": [""Hammersmith and Fulham"", ""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""In glazed mahogany case"", ""made by Science Museum Workshops, London, England, 1994."", ""in glazed mahogany frame"", ""made by Science Museum, London, England, 1920-1929""], ""other"": [""Telecommunications telegraph; telegraph"", ""United Kingdom""]}"
2,9,11,1,3,0,1,1,0,1,1,1,2,3,2,2,2,"{""object_names"": [""FRICTIONAL ELECTRIC MACHINE""], ""makers"": [], ""organisations/institutions"": [""Meteorological Office""], ""dates"": [""1816""], ""places"": [""Hammersmith""], ""descriptions"": [""This glass cylinder electric machine was used by Sir Francis Ronalds in his historic experiments in electric telegraphy"", ""Plate I"", ""See also Cat. No. 2.""], ""other"": [""Lent by the Meteorological Office."", ""Inv. 1876-87.""]}","{""object_names"": [""Cylinder electrical machine"", ""Telecommunications cylinder electrical machine""], ""makers"": [""George John Singer""], ""organisations/institutions"": [], ""dates"": [""1810-1817""], ""places"": [""3 Princes Street, Cavendish Square, London, England"", ""City of Westminster, London, England, United Kingdom""], ""descriptions"": [""electrical researcher and lecturer"", ""inventor and meteorologist at the Kew Observatory after 1843""], ""other"": [""Singer, George John""]}"
3,12,16,1,1,1,1,2,3,1,2,1,3,5,3,1,3,"{""object_names"": [""COPY OF SCHILLING'S ELECTRIC TELEGRAPH. Plate I.""], ""makers"": [], ""organisations/institutions"": [""Imperial Academy of Sciences, Petrograd""], ""dates"": [""1825\u201332""], ""places"": [""Petrograd""], ""descriptions"": [""This is a copy of a portion of the telegraph, preserved in the Imperial Academy of Sciences, Petrograd, which was the outcome of experiments made by Baron P. L. Schilling in 1825\u201332."", ""The receiver part of the instrument consists of a galvanometer with a horizontal needle suspended by a silken thread."", ""The needle carries above it a disc of paper painted black on one side and white on the other; by the deflection of the needle to right or left, two primary signals were obtained."", ""The instrument was made almost \"" dead beat \"" by a plate on the axis dipping into a bath of mercury beneath."", ""The alarm call shown consists of a horizontal needle suspended in a coil and so arranged that when deflected by the passage of a current it strikes a trigger gear that releases the escapement of a clockwork alarm.""], ""other"": [""The currents were first transmitted by placing the ends of the line wires in a bath of mercury, but afterwards a simple key was added.""]}","{""object_names"": [""Copy of the Receiver and Alarm Call of Schilling's Electric Telegraph""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group"", ""Imperial Academy of Science St Petersburg""], ""dates"": [""1870-1877""], ""places"": [""London, England"", ""Greater London, England"", ""United Kingdom""], ""descriptions"": [""Copy of the receiver and alarm call of Schilling's electric telegraph, made by the British Telegraph Manufactory, London, England, 1870-1877."", ""The original was made 1825-1830 by Baron P Schilling and was exhibited in the Loan Collection of Scientific Apparatus in 1876, lent by the Imperial Academy of Science St Petersburg, E.15 a to c - 1878.""], ""other"": [""1870-1877"", ""Vol.6 p.276, S.L.R."", ""Telecommunications telegraph; telegraph"", ""Schilling, Pavel (Baron)""]}"
4,15,22,2,2,2,2,1,2,3,4,0,7,6,3,1,2,"{""object_names"": [""TYPE USED FOR ORIGINAL MORSE TELEGRAPH"", ""Morse telegraph""], ""makers"": [""Prof. S. B. Morse""], ""organisations/institutions"": [""H.M. Postmaster-General""], ""dates"": [""1835"", ""1837"", ""1894""], ""places"": [], ""descriptions"": [""The transmitter consisted of a clockwork mechanism by means of which cast metal type, some of which are shown, were fed past a lever."", ""The serrations on the edges of the type actuated the lever and thereby caused it to make intermittent contact in a pair of mercury cups."", ""In the receiver an electro-magnetic arrangement caused a pen to make irregular V-shaped marks on a paper strip which was drawn past it by clockwork."", ""These marks were interpreted as numbers which were arranged in a code-book."", ""A model of the apparatus was worked through ten miles of insulated wire, wound upon two reels""], ""other"": [""Inv. 1894-158A""]}","{""object_names"": [""Ronalds' electrostatic telegraph"", ""replica dial"", ""diagram""], ""makers"": [""Sir Francis Ronalds"", ""Unknown maker"", ""Science Museum Workshops"", ""Science Museum""], ""organisations/institutions"": [""Science Museum Group"", ""Science Museum""], ""dates"": [""1816"", ""1816-1894"", ""1994"", ""1920-1929""], ""places"": [""Hammersmith"", ""Hammersmith and Fulham"", ""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""Portions of Ronalds' electrostatic telegraph"", ""In glazed mahogany case"", ""in glazed mahogany frame""], ""other"": [""Telecommunications telegraph; telegraph""]}"
5,8,24,1,3,1,4,1,2,2,4,0,6,2,3,1,2,"{""object_names"": [""INSULATORS FOR MORSE TELEGRAPH""], ""makers"": [""Prof. S. B. Morse""], ""organisations/institutions"": [""H.M. Postmaster-General""], ""dates"": [""1835""], ""places"": [], ""descriptions"": [""These insulators were used by Prof. S. B. Morse for the telegraph which he constructed in 1835."", ""A description of the apparatus which he employed will be found in the label which accompanies Cat. No. 5, \""Type used for original Morse Telegraph.\""""], ""other"": [""Inv. 1894-158B""]}","{""object_names"": [""Portions of Ronalds' electrostatic telegraph"", ""replica dial"", ""diagram of Sir Francis Ronalds' 1816 electrostatic telegraph""], ""makers"": [""Sir Francis Ronalds"", ""Unknown maker"", ""Science Museum Workshops"", ""Science Museum""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1816"", ""1816-1894"", ""1994"", ""1920-1929""], ""places"": [""Hammersmith"", ""Hammersmith and Fulham"", ""London"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""In glazed mahogany case"", ""telecommunications telegraph; telegraph"", ""Telecommunications telegraph; telegraph""], ""other"": [""Ronalds"", ""Sir Francis""]}"
6,11,7,1,1,1,1,2,0,2,1,0,1,4,2,1,1,"{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""The Institution of Electrical Engineers""], ""dates"": [""February, 1837""], ""places"": [], ""descriptions"": [""The alarum is set in motion by means of an electro-magnet."", ""The armature on being actuated removes a detent and allows the clockwork to ring the bell."", ""Finding that the alarum would not work reliably, through even one mile of wire, Sir W. F. Cooke consulted Sir Charles Wheatstone with a view to finding a remedy. This resulted in the invention of the Wheatstone relay, a delicate instrument, which by responding to feeble currents, closes a local battery circuit through the coils of the alarum electro-magnet, and permits of signalling over great distances."", ""Developments of the relay are in use in nearly all modern telegraph systems."", ""The first meeting of Wheatstone and Cooke took place in February, 1837, and led to the establishment of the partnership which extended over many years and proved so productive of new ideas in the progress of the electric telegraph.""], ""other"": [""Inv. 1923-278""]}","{""object_names"": [], ""makers"": [""unknown maker""], ""organisations/institutions"": [], ""dates"": [""1835-1840""], ""places"": [""United Kingdom""], ""descriptions"": [""Telecommunications telegraph; telegraph""], ""other"": [""Cooke, Sir William Fothergill""]}"
7,12,9,1,1,2,2,0,1,2,1,2,2,4,1,1,1,"{""object_names"": [""INSULATED WIRE""], ""makers"": [""Cooke & Wheatstone""], ""organisations/institutions"": [], ""dates"": [""1837""], ""places"": [""Euston"", ""Camden Town""], ""descriptions"": [""portion of the experimental telegraph line laid down"", ""specimen was dug up about 30 years later"", ""arrangement consists of a wooden block of trapezoidal section, in the top and two sides of which five copper wires were inserted, in grooves containing a resinous material, and blocked up with strips of wood, the whole being afterwards coated with a protecting compound"", ""experimental telegraph line""], ""other"": [""Inv. 1867-37""]}","{""object_names"": [""Section of first telegraph cable""], ""makers"": [""William Cooke"", ""Charles Wheatstone"", ""Wheatstone, Sir Charles"", ""Cooke, Sir William Fothergill""], ""organisations/institutions"": [""Science Museum Group""], ""dates"": [""1837""], ""places"": [""Euston Square"", ""England""], ""descriptions"": [""Piece of the original telegraph line laid down"", ""Telecommunications cable""], ""other"": [""cable 1837""]}"
8,13,11,1,2,1,2,1,0,1,1,0,1,7,4,2,1,"{""object_names"": [""FIVE-NEEDLE INSTRUMENT""], ""makers"": [], ""organisations/institutions"": [""H.M. Postmaster-General""], ""dates"": [], ""places"": [], ""descriptions"": [""This instrument was included in 1837 by Messrs. Cooke & Wheatstone in their first patent for improvements in giving signals by electric currents; a single-needle telegraph was, however, already known."", ""Five galvanometers or magnetic needles and coils were used, arranged in a horizontal row on the vertical diamond-shaped dial; stops were placed to limit the deflection of the needles."", ""Each needle was operated by a separate lever fitted with two finger keys, so arranged that a current could be sent in either direction."", ""When signalling two needles were simultaneously deflected in opposite directions, the letter was indicated by the intersection of their centre lines on the dial and the point of intersection of their centre lines on the dial indicated the letter to be read off."", ""Twenty letters could thus be signalled, and by employing the needles singly the ten numerals could be transmitted; these numerals were placed on the margins of the lower half of the dial."", ""To obtain a closed circuit when the needles were used singly, a sixth lever and line wire were provided."", ""The letters C, J, Q, U, X, and Z were not represented on the dial, other letters or combinations of letters being used instead.""], ""other"": [""Plate 2."", ""Inv. 1876-1272.""]}","{""object_names"": [""five-needle telegraph""], ""makers"": [""Sir William Fothergill"", ""Sir Charles""], ""organisations/institutions"": [], ""dates"": [], ""places"": [""England""], ""descriptions"": [""Cooke and Wheatstone's earliest (five-needle) telegraph"", ""Telecommunications telegraphs"", ""five-needle telegraphs"", ""telegraphs""], ""other"": []}"
9,17,15,1,1,2,3,2,1,2,3,2,4,6,2,2,1,"{""object_names"": [], ""makers"": [""Messrs. Cooke & Wheatstone""], ""organisations/institutions"": [""Messrs. Reid Bros."", ""Science Museum Group""], ""dates"": [""1837"", ""1845""], ""places"": [""Slough""], ""descriptions"": [""This is one of Messrs. Cooke & Wheatstone's instruments of 1837"", ""it was soon found by the operators that the alphabet could be formed by two needles only, if advantage were taken of repeated momentary deflections."", ""The coils and needles are similar to those of the five-needle instrument, but the code was different, since the symbols were indicated by deflections of one or both of the needles; two line wires were used."", ""An alarm which could be cut out by means of a handle at the side of the instrument was placed at the top."", ""Plate 2.""], ""other"": [""Lent by"", ""Inv. 1876-1275""]}","{""object_names"": [], ""makers"": [""William Reid, London, England""], ""organisations/institutions"": [""Cooke and Wheatstone""], ""dates"": [""1844"", ""1843"", ""January 1, 1845""], ""places"": [""London, England, United Kingdom"", ""United Kingdom""], ""descriptions"": [""invented by Sir William Fothergill Cooke (1806-1879) and Sir Charles Wheatstone (1802-1875)"", ""Telecommunications telegraph instrument; telegraph instrument""], ""other"": [""Sir William Fothergill Cooke"", ""Sir Charles Wheatstone"", ""Cooke, William Fothergill; Wheatstone, Sir Charles; Reid, William""]}"
