RowIndex,object_number,secondary_identifier,whole_or_part,item_count,collection,legal_status,object_name,description,location,hazards,makers_and_associated_people,place_made,date_made,materials,measurements,interpretation,interpretation_source,interpretation_date,harmful_language,outdated_language
0,PROPOSED FLYING MACHINE.,Inv. 1907-29. S.M. 312. L.S.,Whole,N/A,PROPOSED FLYING MACHINE.,donated,PROPOSED FLYING MACHINE. (Scale 1: 7.),"This model, the design for which was patented in 1842 by Mr. W. S. Henson, was built in 1844-5 by Messrs. Henson and J. Stringfellow. Henson's proposal to utilise the fixed surfaces of an aeroplane to obtain support from the air was regarded at the time as a possible solution of the problem of flight. Henson's idea was to imitate soaring birds, all previous attempts being based on vibrating or rotating surfaces, after the manner of flapping wings. It was intended that the actual machine should be used as a conveyer of letters, goods, and passengers. The model consists of an extended surface or aeroplane of oiled silk or canvas, stretched upon a bamboo frame made rigid by trussing, both above and below. A car is attached to the under side of the aeroplane to contain the steam engine, passengers, etc. It has three wheels to run freely upon when it reaches earth. Two propellers, 3 ft. diameter, are shown with their blades set at 45 degrees; they are operated by endless cords from the steam engine (see No. 40). Behind these is a fan-shaped tail, stretched upon a triangular frame capable of being opened out, closed, or moved up and down by means of cords and pulleys. By this latter arrangement ascent or descent was to be accomplished. A rudder for steering sideways is placed under the tail, and above the main aeroplane a sail (not shown) was to be stretched between two masts rising from the car, to assist in maintaining the course. When in motion the front edge of the machine was to be raised in order to obtain the required air support. To start the model it was proposed to allow it to run down an incline, e.g., the side of a hill, the propellers being first set in motion. The velocity gained in the descent was expected to sustain it in its further progress, the engine overcoming the head resistance when in full flight. Experiments were eventually made on the downs, near Chard, and the night trials were abandoned, as the silk became saturated from a deposit of dew. After many day trials, down wide, inclined rails, the model was found to be deficient in stable equilibrium for open-air experiments, little puffs of wind or ground currents being sufficient to destroy the balance. The actual machine was never constructed, but in 1847-48 J. Stringfellow built a model which is supposed to be the first flying machine which performed a successful flight. A lithograph of the proposed machine is shown.",,,"[{'name': 'P. Y. Alexander, Esq.', 'role': 'presenter'}, {'name': 'C. H. M. A. Alderson, Esq.', 'role': 'presenter'}, {'name': 'W. S. Henson', 'role': 'inventor'}, {'name': 'Henson', 'role': 'maker'}, {'name': 'J. Stringfellow', 'role': 'maker'}, {'name': 'J. Stringfellow', 'role': 'maker'}]",,1842; 1844-5; 1847-48,oiled silk; canvas; bamboo; silk,"Scale 1: 7.; 3 ft. diameter; 20 ft. from tip to tip of wings; 3.5 ft. wide; 70 sq. ft.; 10 sq. ft.; 3,000 lb.; 4,500 sq. ft.; 1,500 sq. ft.","Henson's proposal to utilise the fixed surfaces of an aeroplane to obtain support from the air was regarded at the time as a possible solution of the problem of flight. Henson's idea was to imitate soaring birds, all previous attempts being based on vibrating or rotating surfaces, after the manner of flapping wings. It was intended that the actual machine should be used as a conveyer of letters, goods, and passengers. By this latter arrangement ascent or descent was to be accomplished. When in motion the front edge of the machine was to be raised in order to obtain the required air support. To start the model it was proposed to allow it to run down an incline, e.g., the side of a hill, the propellers being first set in motion. The velocity gained in the descent was expected to sustain it in its further progress, the engine overcoming the head resistance when in full flight. Experiments were eventually made on the downs, near Chard, and the night trials were abandoned, as the silk became saturated from a deposit of dew. After many day trials, down wide, inclined rails, the model was found to be deficient in stable equilibrium for open-air experiments, little puffs of wind or ground currents being sufficient to destroy the balance. The actual machine was never constructed, but in 1847-48 J. Stringfellow built a model which is supposed to be the first flying machine which performed a successful flight.",,1907,"{'count': 0, 'terms': []}","{'count': 5, 'terms': ['Esq.', 'Esq.', 'Messrs.', 'Mr.', 'No.']}"
1,1908-44,S.M. 1403,Part,N/A,PORTIONS OF STRINGFELLOW'S FLYING MACHINE MODEL OF 1846-48,donated,PORTIONS OF STRINGFELLOW'S FLYING MACHINE MODEL OF 1846-48,"The model of which the wings, tail, engine and boiler are shown was constructed by Mr. J. Stringfellow in 1846, and was designed for indoor experiments. The sustaining planes were shaped like the wings of a bird, and were slightly curved on the under side. They were also feathered at the back edge, in order that the yielding of the feathers might automatically regulate the fore-and-aft stability. It is stated that during the experiments the model rose after leaving the sustaining wire as much as 1 in 7, and that a free flight of about 40 yds. was eventually made with the model. The sustaining surface was 17 sq. ft., and the planes measured 10 ft. over the tips. The motive power was supplied by a steam engine placed inside a car between and underneath the wings. It had a cylinder .75 in. diameter by 2 in. stroke. The boiler was of the water-tube type as used by Henson, Stringfellow, and others, and consisted of inverted truncated cones arranged around and above the furnace. The cones were connected with a central steam drum above them and with water chambers below. Two four-bladed propellers 16 in. diameter were employed. The propeller speed was increased in the ratio of 3 : 1 by bevel gear on the crank shaft. The weight of the model, including the engine, was 6 lb., and with water and fuel, 6·5 lb. The engine and boiler, which have since been used to work a small lace machine, are not now in their correct relative position as used by Stringfellow.",,,"[{'name': 'J. Stringfellow', 'role': 'constructor'}, {'name': 'Henson', 'role': 'user'}, {'name': 'Stringfellow', 'role': 'user'}, {'name': 'Sir J. Heathcoat Amory, Bart.', 'role': 'presenter'}, {'name': 'P. Y. Alexander, Esq.', 'role': 'presenter'}, {'name': 'C. H. M. A. Alderson, Esq.', 'role': 'presenter'}]",[],['1846-48'],"['water', 'fuel']","['1 in 7', '40 yds.', '17 sq. ft.', '10 ft.', '.75 in.', '2 in.', '16 in.', '6 lb.', '6·5 lb.']","['designed for indoor experiments', 'The sustaining planes were shaped like the wings of a bird, and were slightly curved on the under side. They were also feathered at the back edge, in order that the yielding of the feathers might automatically regulate the fore-and-aft stability.', 'It is stated that during the experiments the model rose after leaving the sustaining wire as much as 1 in 7, and that a free flight of about 40 yds. was eventually made with the model.', 'The engine and boiler, which have since been used to work a small lace machine, are not now in their correct relative position as used by Stringfellow.']",[],1908,"{'count': 0, 'terms': []}","{'count': 3, 'terms': ['Bart.', 'Esq.', 'yds.']}"
2,"Plate I, No. 2",Inv. 1896-98. S.M. 313. L.S.,Whole,N/A,FLYING MACHINE MODEL,donated,FLYING MACHINE MODEL,"This is a complete model of the flying machine constructed and experimentally tried by Sir Hiram Maxim in 1894; by its own effort it more than supported its weight and that of its crew. It never soared aloft, however, as its rise was limited to a few inches only, by inverted rails, and an accident when running under these at a speed of 40 miles per hour brought the experiments to a premature conclusion. The total weight of the machine was 7,700 lb., and it exerted in the trials a total lifting effort of 10,000 lb. The machine consists of a braced structure of steel tubes and wires connected to large inclined surfaces, called aeroplanes, that possess a total area of 5,400 sq. ft. and slope at an angle of 7·25 degrees with the horizontal. The extreme width of the machine is 120 ft. and the length 104 ft. It is propelled by two two-bladed screws, each 17·83 ft. diameter by 16 ft. pitch, driven by compound engines with cylinders 5 in. and 8 in. diameter by 12 in. stroke, making 375 revolutions per minute and exerting together 360 h.p. The thrust from the two propellers working in the air is 2,000 lb., and the lifting effort is derived from this by the action of the aeroplanes. Steam at 300 lb. pressure is supplied from a tubulous boiler of the Thornycroft type, fired by naphtha delivered under a pressure of 50 lb. as 7,650 spray jets through hollow firebars. The boiler has a heating surface of 800 sq. ft. and a grate area of 30 sq. ft.; its weight is 900 lb., and with feed heaters, burners and water 1,200 lb.",,,"[{'name': 'Sir Hiram Maxim', 'role': 'donor'}, {'name': 'Sir Hiram Maxim', 'role': 'constructor'}, {'name': 'Sir Hiram Maxim', 'role': 'experimenter'}]",,1894,steel tubes; wires; aeroplanes; screws; engines; firebars; boiler,"Scale 1:12; 7,700 lb.; 10,000 lb.; 5,400 sq. ft.; 7.25 degrees; 120 ft.; 104 ft.; 17.83 ft.; 16 ft.; 5 in.; 8 in.; 12 in.; 375 revolutions per minute; 360 h.p.; 2,000 lb.; 300 lb. pressure; 50 lb.; 7,650 spray jets; 800 sq. ft.; 30 sq. ft.; 900 lb.; 1,200 lb.","This is a complete model of the flying machine constructed and experimentally tried by Sir Hiram Maxim in 1894; by its own effort it more than supported its weight and that of its crew. It never soared aloft, however, as its rise was limited to a few inches only, by inverted rails, and an accident when running under these at a speed of 40 miles per hour brought the experiments to a premature conclusion.",,1896,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['aeroplanes']}"
3,,1920-127,Whole,N/A,LILIENTHAL GLIDER,loaned,LILIENTHAL GLIDER,"This machine is one of those used by Otto Lilienthal in his experiments on “gliding” near Berlin, in 1895 and 1896. Unfortunately, during one of these flights, in August, 1896, the machine then employed capsized and fell to the ground, Lilienthal being killed. The wings, which may be folded, are constructed of fabric mounted on willow ribs, the hinge centres of the wings being about 6 ft. apart. The wings are held in position by a number of supporting wires above and below, attached to king-posts. The principal member of the framework is an approximately circular hoop of willow, across which pass in a fore-and-aft direction two willow rods that ultimately converge at a point where the bamboo tail rod emerges from the wing surface. Transversely across the hoop passes the main beam, and immediately behind this an opening is provided in the surface to accommodate the upper part of the pilot’s body. Two small bolsters attached to the frame rest under the pilot’s shoulders, and the pilot’s arms pass through rests provided for them in the corners of the x-shaped main beam. The tail portion of the machine is supported by a bamboo rod, and consists of a horizontal plane hinged separately to a vertical plane which is attached rigidly to the main frame. The control of the machine is effected by the movement of the pilot’s body to correct any deviation from the level position.",,,"[{'name': 'Otto Lilienthal', 'role': 'user'}]",['Berlin'],"['1895', '1896']","['fabric', 'willow', 'bamboo', 'wires']","['6 ft.', '22 ft.']","This machine is one of those used by Otto Lilienthal in his experiments on “gliding”. Unfortunately, during one of these flights, the machine then employed capsized and fell to the ground, Lilienthal being killed. The control of the machine is effected by the movement of the pilot’s body to correct any deviation from the level position.",,1920,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
4,1913,1913-438,Whole,N/A,CHANUTE TYPE GLIDER,loaned,CHANUTE TYPE GLIDER,"The early investigations of Octave Chanute in America were on the subject of bird flight, and it was not until the year 1895 that he began the construction of a glider in collaboration with Herring, a pupil of Lilienthal. The Chanute glider was developed from a multiplane, with wing tips which swung back, when struck by wind gusts, into a simple and more efficient two-decker as shown, in which the tail was partly controlled by springs. The wings were single surfaced, with the ribs exposed. The pilot hung with his armpits supported by the padded rests on the framework of the machine, and controlled the balance by movements of his body. The example shown resembles generally one of the later forms of his glider, and is a biplane with considerable camber to the wings. Levers control the rudder and the elevator, but some of the details shown on the machine are modifications from the original design.",,,"[{'name': 'Octave Chanute', 'role': 'investigator'}, {'name': 'Herring', 'role': 'collaborator'}, {'name': 'Lilienthal', 'role': 'pupil'}, {'name': 'The Royal Aero Club of Great Britain', 'role': 'lender'}]","[{'name': 'America', 'role': 'place of investigation'}]",1895,,"Span of wings, 22 ft.; breadth, 3.8 ft.; main supporting surface, about 170 sq. ft.","The Chanute glider was developed from a multiplane, with wing tips which swung back, when struck by wind gusts, into a simple and more efficient two-decker as shown, in which the tail was partly controlled by springs. The wings were single surfaced, with the ribs exposed. The pilot hung with his armpits supported by the padded rests on the framework of the machine, and controlled the balance by movements of his body. The example shown resembles generally one of the later forms of his glider, and is a biplane with considerable camber to the wings. Levers control the rudder and the elevator, but some of the details shown on the machine are modifications from the original design.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
5,WEISS MODEL GLIDER.,1912-102,Whole,N/A,,donated,WEISS MODEL GLIDER,"Presented by The Weiss Aeroplane and Launcher Syndicate, Ltd., London, E.C. 1912. This model glider is a development of one shown at Paris in 1905 by Mr. José Weiss, and patented by him in 1908 in Great Britain. It was designed with a view to obtain automatic stability. The glides were made from the top of a hill in a direction directly opposed to that of the wind, and it is stated that the gliding speed of the model in relation to the atmosphere was between 30 and 35 miles per hour. The glider is a monoplane constructed on the lines of the albatross, and the framework consists of bamboo, the joints being made with tire cement and tarred twine. The main wings possess, at the middle, considerable thickness, and taper towards the tips, where they are flexible and flat. They are characterised by a distinct change of angle of incidence from the fuselage to the tip. Near the body the angle is greatest and is about 5 degrees, and from here it gradually decreases towards the wing tip. The tips themselves are upturned in such a way that they present a marked negative angle of incidence. A tail is provided, and, in the model, which was launched by hand, a roll of lead formed the weight, which was slipped over a vertical rod at the junction of the main frame with the landing skids, in a position corresponding to the breast of a bird. It is claimed that the design of the glider gives it a large amount of automatic stability, both longitudinal and lateral, and much experimental work has been carried out near Arundel with this and subsequent man-carrying gliders. The power-driven machine constructed in 1910 on the lines of the model had a total sustaining surface of 185 sq. ft., with a span of 34 ft., and weighed, with the pilot, 750 lb. A notable feature of this machine was the absence of cross-bracing, the compression and tension members being both provided for by the bamboo triangulated framework. Lashings of tarred string were employed as on the gliders. The tail of the machine combined the functions both of elevator and rudder, and there was no control of the wings themselves in the hands of the pilot. An eight-cylinder E.N.V. engine of about 30 h.p. was fitted and drove a single tractor screw of 7 ft. diameter. Inv. 1912-102. S.M. 1402. L.S.",,,"[{'name': 'The Weiss Aeroplane and Launcher Syndicate, Ltd.', 'role': 'presented by'}, {'name': 'José Weiss', 'role': 'inventor'}]","['London', 'Paris', 'Great Britain', 'Arundel']","['1905', '1908', '1910', '1912']","['bamboo', 'tire cement', 'tarred twine', 'lead', 'tarred string']","['185 sq. ft.', '34 ft.', '750 lb.', '30 h.p.', '7 ft.']","['This model glider is a development of one shown at Paris in 1905 by Mr. José Weiss, and patented by him in 1908 in Great Britain.', 'It was designed with a view to obtain automatic stability.', 'The glides were made from the top of a hill in a direction directly opposed to that of the wind, and it is stated that the gliding speed of the model in relation to the atmosphere was between 30 and 35 miles per hour.', 'The glider is a monoplane constructed on the lines of the albatross, and the framework consists of bamboo, the joints being made with tire cement and tarred twine.', 'The main wings possess, at the middle, considerable thickness, and taper towards the tips, where they are flexible and flat.', 'They are characterised by a distinct change of angle of incidence from the fuselage to the tip.', 'Near the body the angle is greatest and is about 5 degrees, and from here it gradually decreases towards the wing tip.', 'The tips themselves are upturned in such a way that they present a marked negative angle of incidence.', 'A tail is provided, and, in the model, which was launched by hand, a roll of lead formed the weight, which was slipped over a vertical rod at the junction of the main frame with the landing skids, in a position corresponding to the breast of a bird.', 'It is claimed that the design of the glider gives it a large amount of automatic stability, both longitudinal and lateral, and much experimental work has been carried out near Arundel with this and subsequent man-carrying gliders.', 'The power-driven machine constructed in 1910 on the lines of the model had a total sustaining surface of 185 sq. ft., with a span of 34 ft., and weighed, with the pilot, 750 lb.', 'A notable feature of this machine was the absence of cross-bracing, the compression and tension members being both provided for by the bamboo triangulated framework.', 'The tail of the machine combined the functions both of elevator and rudder, and there was no control of the wings themselves in the hands of the pilot.']",,,"{'count': 0, 'terms': []}","{'count': 1, 'terms': ['tire cement']}"
6,,Inv. 1910-40. S.M. 213. L.S.,Whole,N/A,,,WRIGHT FLYING MACHINE,"The early experiments of Messrs. Orville and Wilbur Wright, of Dayton, Ohio, were made with soaring machines, which were abandoned, however, in 1903 in favour of power-driven aeroplanes. In 1906 the brothers took out a U.S.A. patent, claiming the essential features of their improved machine. The model represents the biplane used by Mr. W. Wright on the racecourse of Hunaudières, near Le Mans, in the autumn of 1908. It consists of two horizontal superposed planes, nearly rectangular in plan, the greater length being in a direction at right angles to the line of flight. At the rear is a double vertical rudder for steering in a lateral direction, and in front of the main planes two smaller superposed horizontal planes serve to control the vertical flight path of the machine. These front and rear rudders are nearly balanced, so that they can be easily moved by the control levers. The small semi-circular plane between the elevators is connected with the rear rudders, and is designed to act exclusively as a tell-tale. The aeroplane is mounted upon two wooden runners or skids, which extend forward and form supports for the front rudder. The whole structure is braced with wooden struts and wire ropes, the vertical wooden struts between the main planes being spaced at about 6 ft. intervals. The planes are constructed of cotton fabric, stretched over ribbed frames; in the model the port sides of the planes and the port rudder are uncovered in order to show the construction of the framing. Two seats are shown, that on the left is for the aviator, the other one being for a passenger or pupil. Only two levers are used by Mr. Wilbur Wright, one on either side, the one on his left being duplicated on the right-hand side of the passenger. The left-hand lever controls the front rudder only, whilst the other one has two controls. A fore-and-aft motion operates the rear rudder, and a motion sideways operates the plane-warping mechanism of the machine. Side balance is maintained through the warping of the wings; moreover, it is stated that the vertical rudder is never used alone in changing the direction of the machine.",,,"[{'name': 'T. W. K. Clarke & Co.', 'role': 'makers'}, {'name': 'Orville Wright', 'role': 'associated person'}, {'name': 'Wilbur Wright', 'role': 'associated person'}, {'name': 'W. Wright', 'role': 'user'}]","['Dayton, Ohio']",1909,cotton fabric; wood; wire ropes,Scale 1: 10.; 6 ft.,"The early experiments of Messrs. Orville and Wilbur Wright, of Dayton, Ohio, were made with soaring machines, which were abandoned, however, in 1903 in favour of power-driven aeroplanes. In 1906 the brothers took out a U.S.A. patent, claiming the essential features of their improved machine. The model represents the biplane used by Mr. W. Wright on the racecourse of Hunaudières, near Le Mans, in the autumn of 1908. The small semi-circular plane between the elevators is connected with the rear rudders, and is designed to act exclusively as a tell-tale. Side balance is maintained through the warping of the wings; moreover, it is stated that the vertical rudder is never used alone in changing the direction of the machine.",U.S.A. patent,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
7,1380,1920-465,Whole,N/A,L.S.,,VOISIN BIPLANE.,"(Scale 1: 10.) MM. Voisin Frères 1908 This is a model of the aeroplane constructed in 1908 by MM. Voisin Frères, and was the pioneer of the Farman biplane. Inv. 1920-465. S.M. 1380. L.S.",,,"[{'name': 'Voisin Frères', 'role': 'maker'}]",,1908,,Scale 1: 10.,"This is a model of the aeroplane constructed in 1908 by MM. Voisin Frères, and was the pioneer of the Farman biplane.",,,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
8,1911,Inv. 1911-109,Whole,N/A,FARMAN BIPLANE,,FARMAN BIPLANE,"Scale 1: 10. Messrs. T. W. K. Clarke & Co. 1911 Plate IV. The first machine used by Henri Farman was made by Voisin Frères in 1907, and may be said to be the prototype of the highly successful Farman machine of to-day. The vertical panel surfaces or side curtains of the box-kite form of biplane associated with the name of Voisin have disappeared, and in consequence the modern Farman machine is considerably lighter in appearance. S.M. 258. L.S.",,,"[{'name': 'T. W. K. Clarke & Co.', 'role': 'maker'}, {'name': 'Voisin Frères', 'role': 'maker'}, {'name': 'Henri Farman', 'role': 'user'}]",,1907,,Scale 1: 10,"The first machine used by Henri Farman was made by Voisin Frères in 1907, and may be said to be the prototype of the highly successful Farman machine of to-day. The vertical panel surfaces or side curtains of the box-kite form of biplane associated with the name of Voisin have disappeared, and in consequence the modern Farman machine is considerably lighter in appearance.",Messrs. T. W. K. Clarke & Co. 1911 Plate IV,1911,"{'count': 0, 'terms': []}","{'count': 0, 'terms': []}"
9,BLÉRIOT MONOPLANE.,1910-34,Whole,N/A,,,BLÉRIOT MONOPLANE. (Cross-Channel Type.),"The earliest experiments of Mons. L. Blériot were made in 1901 with a flapping- wing machine which failed. His first successful flight was accomplished in July, 1907, when the monoplane principle was adopted, and the steady development of this type of machine has resulted in the successful form shown by the model, the most notable achievements of which were a cross-country flight of 25 miles, and the crossing of the English Channel from Calais to Dover on July 25th, 1909. The model shown represents the machine known as No. XI, with which the Channel crossing was made. It is of the single passenger type, and, with the exception of the monoplane of M. Santos-Dumont (see No. 11), is the smallest which has met with any success.",,,"[{'name': 'L. Blériot', 'role': 'experimenter'}, {'name': 'T. W. K. Clarke & Co.', 'role': 'maker'}, {'name': 'Santos-Dumont', 'role': 'associated person'}]",[],1910,[],['Scale 1: 10.'],"The earliest experiments of Mons. L. Blériot were made in 1901 with a flapping- wing machine which failed. His first successful flight was accomplished in July, 1907, when the monoplane principle was adopted, and the steady development of this type of machine has resulted in the successful form shown by the model, the most notable achievements of which were a cross-country flight of 25 miles, and the crossing of the English Channel from Calais to Dover on July 25th, 1909. The model shown represents the machine known as No. XI, with which the Channel crossing was made. It is of the single passenger type, and, with the exception of the monoplane of M. Santos-Dumont (see No. 11), is the smallest which has met with any success.",,1910,"{'count': 0, 'terms': []}","{'count': 2, 'terms': ['Mons.', 'M.']}"
